,result
CD4,1
Records withheld from disclosure pursuant to:,1
Released All responsive documents have been released pursuant to the California Public Records Act,1
All Council Offices have responded to this request with no responsive documents,1
Records available for review through the City Clerk website,1
Response provided per the request.,1
dra02c. Released – Redacted and/or Withheld,1
 02a. Released - Redacted,1
02. Released - Risk Department,1
Request complete.  Please refer to prior responses.,1
Waiting for proof of identity from the requestor,1
02. Released link to requested information,1
Mr. Carter,1
San Diego City Council District 9 has no responsive records for this request.,1
The records requested must be obtained by following a different process.  Use of NetFile on the City Clerk's website.  The Customer was contacted and given instructions.,1
All responsive documents have been released except those that have been withheld pursuant to:,1
Waiting for clarification from the requestor.,1
Mr. Moran,1
Council District One has no responsive documents.,1
All records have been provided.  Architectural plans are available for review pursuant to Health and Safety Code section 19851,1
redre,1
Response to requester's question. ,1
The nature of the request pertains to public records that are exempt from disclosure under Government Code section 6254(k) [Gov. Code §53087.6(e)(1) and (e)(2)].,1
The records requested must be obtained by following a different process:,1
City Clerk released all responsive documents to requester.,1
The requestor was directed to the San Diego Police Department.,1
A response could not be provided because the requestor did not provide any contact information,1
Under the California Public Records Act and California case law,1
The public interest in disclosure is outweighed by other factors.,1
The records requested must be obtained by contacting the Ethics Commission directly. The request was forwarded to the Ethics Commission for processing.,1
The records requested must be obtained by following a different process. Please contact the employee mentioned in the message below.  ,1
A response could not be provided because the requestor did not provide any contact information.,1
No disclosable documents,1
Hannah,1
The City Clerk's office has left seven voicemails for the requester and has not received a response as of today.,1
I accidently quoted an incorrect government code. The corrected reasons are below:,1
Responsive documents from Council District One have been released pursuant to the California Public Records Act.,1
Pursuant to Health and Safety Code section 19851,1
  The City of San Diego has no responsive documents.,1
The records requested must be obtained by following a different process. Please contact the City employee listed in the message below.,1
CD available for purchase at READ's office.,1
The requestor already reviewed the file.,1
All responsive documents have been uploaded,1
vestv02a. Released - Redacted,1
Any documents in the Criminal/Community Justice Division of City Attorney's Office responsive to your request not disclosed are being withheld pursuant to:,1
There was no information for this street location of Madison Ave Between 35th Street & Hawley with the date range requested of February 2016 to March 2016.,1
No responsive document(s).,1
San Diego City Council District 9 has no responsive documents.,1
The previous closure response is incorrect.  There are no responsive documents. ,1
The records requested must be obtained by following a different process.  Please contact the City employee listed in our recent message.,1
DCA Ben Syz will be in direct contact with the requester as this request pertains to ongoing CEQA litigation.,1
Some requested records do not exist.,1
The requested record was provided directly to a third party,1
inv02a. Released - Redacted,1
Information provided on where to locate requested information online.,1
Was closed April 7,1
Records available for review.,1
SDCERS has responded to the requestor directly outside of the NextRequest system.,1
Documents have been withheld or redacted pursuant to the following Government Code exemption(s) 6254 (a) (drafts),1
All responsive documents from City of San Diego Council District 3 have been released pursuant to the California Public Records Act.,1
No more responsive documents.,1
Requester came into City Clerk's office on 5/9/2018 and view municipal code books and received copies.,1
Government Code sections 6254(k) [Attorney Client Privilege],1
Per the company of the requestor on 12/12/16,1
From DCA Travis Phelps: We certified the administrative record (which is what the PRA was asking for) in this case on Oct. 5th.,1
All responsive documents have been released except for portions redacted pursuant to: The public interest in the nondisclosure of personal identifying information clearly outweighs the public interest in disclosure. ,1
Records available for review/to make copies,1
The Office of San Diego City Council District 9 has no responsive documents.,1
Reopened to delete under review document.,1
The records you have requested are available for your review pursuant to the Public Records Act.,1
The City of San Diego is a Charter city and thus,1
  Pursuant to the Public Records Act,1
The names,1
This is not a request that falls within the scope of the Public Records Act.,1
There was no record of road/street construction work done at the intersection of Black Moutain Rd and Carroll Canyon Rd from July 1,1
02c. Released – Redacted and Withheld,1
This was opened for testing purposes.,1
The electronic filing system,1
No additional responsive documents,1
All responsive documents have been released except those that have been redacted and/or withheld pursuant to Gov’t Code §6255; BRV,1
Regarding City Attorney Office's response:,1
Waiting for further direction from the requestor.,1
Data has been provided to requestor.,1
Referred requestor to the Records Unit of the San Diego Police Department to obtain the responsive documents.,1
Mr. Berlin,1
This request should be closed.  We have communicated with the requester as the information sought is publicly available on our website.,1
District 3 has no responsive documents.,1
Good afternoon Dana,1
The records requested must be obtained by following a different process. Please refer to our message of 9/2.,1
i,1
A portion of the responsive documents has been released.  Additional records are available for your review pursuant to the Public Records Act.  Please contact the city employee named in the recent message you received.,1
All responsive documents have been released except those that have been redacted and/or withheld pursuant to Government Code sections 6254(c) and 6255.,1
Not a PRA request that can be responded to in that the requestor did not provided any contact information.,1
[Pending litigation or claims] Government Code section 6254 (b),1
Some of the records requested must be obtained by following a different process.,1
All responsive,1
CAO does not maintain these records.  Requester did not respond to message asking to revise request.,1
SDCERS has responded to requester directly with requested information.  This request is now completed and may be closed.,1
The records requested must be obtained by following a different process.  Please contact the City employee referenced in our prior message.,1
The accident report is being withheld pursuant to Government Code section 6254 (k) [Vehicle Code section 20012],1
We have not yet issued our Performance Audit of the City’s Efforts to Address Homelessness. In accordance with Government Code Section 36525 - papers,1
The office of CD9 has provided all responsive documents to this request.,1
Withheld pursuant to Cal. Government Code section 6254(c) and as individual privacy protected pursuant to Cal. Government Code section 6255.,1
Mr. Stirling:,1
The records requested must be obtained by following a different process. The request has been forwarded to the appropriate City department.,1
The records requested must be obtained by following a different process.  Customer called to come in to the  City Clerk's office to review the files on 2/14/2020.  She will not be able to come in until 2/24/2020 to view the files. Request completed on 2/14/2020.,1
The records requested must be obtained by following a different process.  This information is all available on the City Clerk's website. Directions given.,1
All documents have been released:,1
All responsive documents have been released except those that have been redacted and/or withheld pursuant to Cal. Government Code sections 6254(a),1
Request processed via a different process.,1
Council District 4,1
As currently phrased the request is overly broad.  The requestor has been asked to narrow the scope of the request.,1
  Not a PRA request,1
Referred to another process.,1
Des,1
Not a PRA request.  No contact information provided.,1
This request is a duplicate of Request # 16-1472.,1
The records requested must be obtained by following a different process.  The records are on a CD that must be purchased by contacting the Police Department directly.,1
All responsive documents have been released except those that have been redacted and/or withheld pursuant to:The public interest in the nondisclosure of personal identifying information clearly outweighs the public interest in disclosure. ,1
Council District 2 completed this request,1
The records requested must be obtained by following a different process. Office of the City Treasurer (SDTOT@sandiego.gov).,1
This is not a request that falls within the scope of the Public Records Act.The City of San Diego has no responsive documents.,1
Government Code section 6255 [personal identifying information has been redacted as the public interest in nondisclosure clearly outweighs the public interest in disclosure]. ,1
  The office of Council District 9 has no responsive documents.,1
Please see uploaded records and response letter. ,1
There are no responsive records.,1
Council District 4 has no responsive documents.,1
San Diego City Council District 9 has no responsive documents for this request.,1
Some of the records requested must be obtained by following a different process. Please contact the City employee listed in our recent message.,1
The Office of the City Auditor has no responsive documents.,1
SDCERS has no responsive documents.,1
Correction: ,1
Not having heard any further comments from the requester,1
Sent messages to requester for specificity of dangerous condition.,1
The records requested must be obtained by following a different process. ,1
Request Closed,1
Mr. Stockton,1
Referred to the City's website.,1
All responsive documents have been released except for portions redacted pursuant to Government Code section 6255 [personal identifying information]. ,1
Dear Mr. Fields,1
Unable to make contact with requester.,1
060716,1
