Agency,Avg Days Till Completion
Independent Police Review Authority,116 days 21:40:21.038495700
Indian Creek Village Police Department,29 days 19:21:37.708450666
Indian Hills Police Department,4 days 00:57:57.407983
Indian River County Sheriff's Department,48 days 08:14:17.599250750
Indian River Shores Public Safety Department,20 days 13:22:40.921753
Indiana Integrated Public Safety Commission,37 days 20:00:00
Indiana State Police,89 days 08:50:40.457307157
Indiana University Police Department,48 days 22:19:26.184063
Indianapolis Metropolitan Police Department,35 days 22:14:19.112957836
Ingham County Sheriff,139 days 17:11:26.100315500
Inglewood Police Department,571 days 19:00:01.702768256
Ingram Police Department,13 days 19:18:41.072055
Inkster Police Department,4 days 20:00:00
Inlet Town Police Department,85 days 04:57:17.065594
Interlaken Village Police Department,243 days 09:42:33.971322
Inyo County Sheriff,20 days 20:51:10.148396
Ionia County Sheriff's Office,11 days 21:47:54.614675
Iosco County Sheriff's Office,14 days 18:24:06.483487
Iowa City Police Department,9 days 12:14:03.729692750
Iowa Department of Public Safety,73 days 10:55:48.674897118
"Iowa Department of Public Safety, Division of Criminal Investigation",0 days 20:00:00
Iredell County Sheriff,17 days 15:29:20.716333
Irondale Police,45 days 08:43:27.948809
Irondequoit Police Department,49 days 06:05:10.599579500
Iroquois County Sheriff's Office,21 days 19:44:09.061581
Irvine Police Department,128 days 12:32:12.312747546
Irving Police Department,22 days 13:04:53.627671615
Irvington Village Police Department,245 days 14:18:05.676333
Isanti County Sheriff,7 days 19:09:55.018119
Island County Sheriff's Office,17 days 01:07:06.271805500
Itasca Police Department,33 days 04:12:51.318604
Ithaca Police Department,99 days 09:01:09.784964
Iuka Police Department,307 days 12:23:45.828441
Izard County Sheriff'S Office,3 days 00:54:38.798140
Jackson County Sheriff,120 days 16:59:41.927077
Jackson County Sheriff's Office,296 days 02:57:02.267120712
Jackson County Sheriffs Office,40 days 07:34:01.766296500
Jackson County Sheriff’s Office,80 days 13:24:48.358773
Jackson Parish Sheriff's Office,15 days 08:00:00
Jackson Police Department,92 days 10:52:25.065120667
Jacksonville Beach Police Department,10 days 15:12:58.744613
Jacksonville Police Department,63 days 11:27:36.791849667
Jacksonville Sheriff's Office,77 days 05:34:07.532350001
Jamestown Police Department,9 days 20:00:00
Jasper County Sheriff's Office,19 days 18:31:46.150462
Jefferson City Police Department,31 days 13:27:38.495596
Jefferson County Sheriff,32 days 17:05:52.556811750
Jefferson County Sheriff's Department,216 days 06:30:42.656512232
Jefferson County Sheriff's Department (wa),0 days 21:37:35.590864
Jefferson County Sheriff's Office,256 days 10:11:14.750639500
Jefferson County Sheriffs Office,21 days 14:27:56.596447
Jefferson County TX Sheriff Office,18 days 11:05:23.199159
Jefferson Davis Parish Sheriff's Office,38 days 20:00:00
Jefferson Parish Sheriff,54 days 04:28:00.374034
Jefferson Parish Sheriff's Office,116 days 20:00:00
Jefferson Police Department,29 days 20:00:00
Jersey City Police Department,212 days 00:57:20.422901748
Jersey County Sheriff's Office,74 days 23:29:35.601540
Jo Daviess County Sheriff's Office,18 days 18:05:39.831513
Johnson County Sheriff,14 days 05:13:22.755262
Johnson County Sheriff's Office,190 days 21:18:07.399504
Johnston County Sheriff's Office,40 days 18:36:39.477561500
Johnston Police Department,15 days 04:53:57.775948600
Joliet Police Department,9 days 19:00:00
Jones County Sheriff's Office,25 days 21:26:30.899983200
Jonesboro Police Department,210 days 18:18:54.081992500
Jupiter Police Department,31 days 20:36:21.752976
Justice And Public Safety Cabinet,29 days 18:50:54.361024
Kalamazoo County Sheriff,79 days 20:35:55.454104
Kalkaska County Sheriff's Office,12 days 17:13:08.445745
Kanawha County Sheriff,1175 days 11:56:00
Kane County Sheriff,8 days 20:32:43.381002500
Kane County Sheriff's Department,9 days 22:47:31.694363
Kansas City Kansas Police Department,128 days 00:20:08.431753
Kansas City Police Department,67 days 06:32:19.944071548
Karnes County Sheriff,10 days 20:00:00
Kauai Police Department,71 days 10:24:00
Kaukauna Police,14 days 14:31:21.692719
Keene Police Department,120 days 20:12:55.115770
"Keller, TX Police Department",10 days 13:45:00
Kemper County Sheriff,279 days 10:11:42.518284
Kendall County Sheriff,10 days 20:41:26.087668
Kennesaw Police Department,122 days 20:12:43.906261
Kennesaw State University Police,5 days 18:08:15.248827
Kennett Square Police Department,91 days 20:47:14.976856
Kennewick Police,46 days 07:24:28.727774
Kenosha County Sheriff,12 days 20:31:08.303296
Kenosha Police Department,192 days 13:09:16.383718776
Kensington Police Protection and Community Services District,17 days 19:00:00
Kent County Sheriff,34 days 01:16:56.015620500
Kent County Sheriff's Office,0 days 01:42:52.866043
Kent Police Department,78 days 03:21:28.805381500
Kentucky State Police,55 days 11:04:17.130727828
Kentwood Police Department,261 days 17:36:18.870515
Kern County Sheriff's Office,62 days 15:08:20.795953317
Kershaw County Sheriff,1 days 03:31:41.085848
"Kettering, OH Police Department",23 days 07:30:00
Key Colony Beach Police Department,8 days 11:21:22.832376
Key West Police Department,65 days 05:36:30.692328
Killeen Police Department,157 days 01:42:13.653932224
Kinder Police Department,1116 days 14:36:12.807891008
King County Sheriff's Office,90 days 04:29:37.561335091
King George County Sheriff's Office,0 days 08:57:45.130240
Kings County Sheriff,88 days 09:00:31.749498
Kings Point Police Department,122 days 06:48:24.051481334
Kingsburg Police Department,10 days 20:35:13.541559
Kingston Police Department,55 days 10:42:08.018478
Kiowa County Sheriffs Office,153 days 20:53:23.907459
Kirkland Police Department,14 days 21:33:31.262285
Kirkwood Police Department,373 days 17:07:23.208769
Kissimmee Police Department,48 days 16:16:54.313656
Kit Carson County Sheriffs Office,477 days 20:00:00
Kitsap County Sheriff's Office,22 days 19:13:44.763929250
Knox County Sheriff,39 days 06:27:32.053589
Knox County Sheriff's Office,435 days 00:55:30.901326
Knoxville Police Department,13 days 19:24:00
Kootenai County Sheriff,4 days 12:07:26.870321
Kosciusko County Sheriff's Department,11 days 00:30:54.638835
Kyle Police Department,12 days 02:38:38.199159
La Crescent Police Department,53 days 09:57:42.915672
La Crosse Police Department,62 days 20:00:00
La Habra Police Department,16 days 08:29:55.439890
"La Mesa, CA Police Department",18 days 04:22:43.936478400
La Palma Police Department,188 days 13:58:24.518178500
La Paz County Sheriff,11 days 20:19:58.941440
La Plata Police Department,3 days 19:00:00
La Salle County Sheriff,13 days 08:14:02.138990500
La Verne Police Department,46 days 23:44:55.039750
Lacey Police Department,10 days 02:42:15.695409
Lackawanna City Police Department,74 days 08:53:52.332764
"Lackawanna County, Pa Sheriff's Office",21 days 18:29:26.639383
Lacy Lakeview Police Department,6 days 02:12:20.894003
Lafayette County Sheriff's Office,25 days 07:51:34.811253333
Lafayette Police Department,51 days 14:52:57.173652833
Lafourche Parish Sheriff's Office,14 days 08:37:12.563178
Laguna Beach Police Department,14 days 03:02:36.372587500
Lake Arthur Police Department,550 days 22:47:30.573275
Lake Charles Police Department,13 days 14:08:24.939321
Lake County Sheriff,10 days 17:50:47.027827125
Lake County Sheriff's Office,120 days 23:35:05.636539858
Lake Forest Police Park Department,11 days 22:40:20.422290
Lake Mills Police Department,4 days 18:04:20.843306
Lake Oswego Police Department,31 days 21:29:59.548308
Lake Ozark Police Department,264 days 11:05:23.199159
Lake Placid Police Department,4 days 20:00:00
Lake Shastina Police Department,12 days 16:37:56.737665
Lake Success Village Police Department,265 days 16:30:04.958893
Lake Villa Police Department,1 days 20:00:00
"Lake Zurich Police Department, Illinois",0 days 10:55:34.810845
Lakeland Police Department,133 days 14:05:21.023062334
Lakeville Police Department,83 days 12:53:23.242059500
Lakeway Police Department,4 days 00:22:54.573551
Lakewood Police Department,60 days 21:49:45.738425600
Lakewood-Busti Village Police Department,201 days 00:35:43.068214
Lamar County Sheriff's Department,384 days 02:45:50.711845500
Lancaster Bureau of Police,23 days 21:57:25.905877
Lancaster County Sheriff,7 days 09:09:14.821454
Lancaster County Sheriff's Department,6 days 11:00:00
Lancaster Police Department,628 days 11:57:39.851625
Lane County Sheriff's Office,232 days 08:00:00
Lanier County Sheriff's Office,13 days 20:23:53.874178
Lanier County Sheriffs Office,12 days 02:59:42.365551
Lansing Police Department,23 days 09:08:03.709012555
Lapeer County Sheriff's Office,2 days 13:43:46.505687
Laramie County Sheriff,63 days 11:14:37.601646
Larchmont Village Police Department,410 days 12:04:28.672188
Laredo Police Department,102 days 00:05:14.235226251
Larimer County Sheriff,1 days 03:20:00
Las Animas County Sheriff's Office,379 days 02:32:15.518235
Las Animas Police Department,486 days 20:00:00
Las Cruces Police Department,40 days 01:26:33.832291857
Las Vegas Metropolitan Police Department,102 days 08:49:33.359275943
Lasalle Parish Sheriff's Office,342 days 20:00:00
Lassen County Sheriff's Department,50 days 04:09:28.663166
Lauderhill Police Department,37 days 00:00:19.243662
Laurel Police Department,27 days 01:31:51.851994
Laurens County Sheriff,16 days 07:41:05.145858
Lawrence County Sheriff's Office,83 days 07:46:57.698253
Lawrence Police Department,144 days 07:02:41.973942154
Lawton Police Department,110 days 22:49:13.466058
Layton Police Department,9 days 11:16:45.227038
Le Roy Village Police Department,207 days 14:25:11.554456
Lea County Sheriff's Department,9 days 20:00:00
League Police Department,97 days 11:07:02.577291
Leavenworth Police Department,2 days 20:24:44.841189
Leawood Police Department,7 days 04:43:46.987734
"Lebanon County, Pa Sheriff's",18 days 05:48:09.288182
Lebanon Police Department,5 days 05:03:20.500967500
Lee County Sheriff,8 days 20:00:00
Lee County Sheriff's Office,45 days 15:05:30.697888846
"Lee's Summit Police Department, Lee's Summit",1 days 21:47:25.451661
Leelanau County Sheriff's Office,2 days 07:30:45.747695
Leesburg Police Department FL,10 days 22:39:14.646995
Leesburg Police Department VA,4 days 22:38:56.167384
Leflore County Sheriff,214 days 05:24:21.106086
Lehi City Police Department,20 days 06:14:54.607843500
Leicester Police Department,24 days 16:25:04.029656666
Lemoore Police Department,4 days 20:00:00
Lenawee County Sheriff,14 days 18:04:46.755811
Lenoir County Sheriff's Office,186 days 22:37:00.666031
Lenox Police Department,98 days 20:00:00
Leon County Sheriff Department,25 days 20:22:42.926058500
Leon County Sheriff's Office,15 days 05:04:42.067285
Leslie Police Department,6 days 23:52:43.342389
Levy County Sheriff,2 days 21:12:17.871387
Lewis County Sheriff,231 days 16:33:09.268083
Lewis County Sheriff's Department,24 days 03:48:32.755479428
Lewis County Sheriff's Office,46 days 13:19:00.852406500
Lewiston Police Department,20 days 08:57:44.814645500
Lewiston Town Police Department,207 days 05:41:56.108522500
Lewisville Police Department,39 days 15:24:32.005049375
Lexington County Sheriff,92 days 20:09:03.215150
Lexington Division of Police,327 days 12:10:24
Lexington Police Department,411 days 19:40:00
Liberal Police Department,7 days 22:16:39.561818
Liberty County Sheriff's Office,119 days 13:12:30.883854
Lima Police Department,281 days 15:05:46.471302
Lincoln County Sheriff,7 days 21:02:19.838615
Lincoln County Sheriff MO,116 days 11:05:23.199159
Lincoln County Sheriff's Department,107 days 19:45:00
Lincoln County Sheriff's Office,33 days 21:57:43.082325200
Lincoln Parish Sheriff's Office,142 days 20:00:00
Lincoln Park Police Department,12 days 04:03:53.712781
Lincoln Police Department,28 days 13:52:52.833437
Lincolnshire Police Department,1 days 09:58:15.396886
Lincolnwood Police Department,24 days 21:06:16.964074
Linden Police Department,28 days 22:57:11.304705
Lindsay Police Department,8 days 18:41:27.907250
Litchfield Police Department,4 days 23:35:48.687694
Lithonia Police Department,123 days 22:19:58.590248
Little Compton Police Department,2 days 08:00:00
Little Rock Police Department,153 days 02:13:49.057662776
Littleton Police Department,2 days 17:04:33.780876
Livermore Police Department,105 days 07:00:09.458044500
Livingston County Sheriff,156 days 00:10:18.644520500
Livingston County Sheriff's Office,11 days 04:53:19.182555500
Livingston Parish Sheriff's Office,52 days 08:00:00
Livonia Police Department,19 days 04:44:52.541822
Lloyd Harbor Village Police Department,67 days 11:09:59.381285
Lockport City Police Department,76 days 09:33:43.296546
Locust Grove Police Department,620 days 21:31:43.588922
Lodi Police Department,7 days 20:43:58.976449500
Logan City Police Department,12 days 08:40:49.421683333
Logan County Sheriff's Office,11 days 12:55:48.587284333
Loganville Police Department,9 days 06:36:00.246345
Lombard Police Department,2 days 20:56:43.036856500
Lomita Sheriff’s Station - City of Rancho Palos Verdes,96 days 20:00:00
Londonderry Police Department,589 days 15:30:24.148550
Long Beach Police Department,136 days 13:10:17.502370790
Long County Sheriff's Office,10 days 09:27:48.105246500
Long County Sheriffs Office,74 days 19:14:07.775386
Long Hill Township Police Department,7 days 19:00:00
Longboat Key Police Department,32 days 20:10:21.417033
Longmeadow Police Department,628 days 01:45:00
Longmont Police Department,3 days 22:22:42.046902
Longview Police Department,23 days 20:00:00
Lonoke County Sheriff'S Office,17 days 12:16:26.854056500
Lorena Police Department,32 days 17:18:01.607937666
Los Alamitos Police Department,59 days 21:17:11.754159
Los Altos Police Department,26 days 12:03:37.511023500
Los Angeles County Sheriff's Department,128 days 23:46:56.734590108
Los Angeles Police Department,160 days 00:12:52.391325528
Los Angeles School Police Department,76 days 08:27:31.609768600
Los Banos Police Department,7 days 15:28:17.886907
Los Gatos Monte Sereno Police Department,44 days 19:00:00
Los Gatos/Monte Sereno Police Department,11 days 20:32:39.520347
Loudoun County Sheriff's Office,35 days 07:30:00
Louisiana State Police,113 days 20:00:49.484557880
Louisville Metro Police,11 days 04:24:41.501725900
Louisville Metro Police Department,81 days 12:01:53.989540800
Loveland Police Department,2 days 20:00:00
Loves Park Police Department,7 days 22:47:40.339090
Lowell Police Department,108 days 13:55:08.374434776
Lowndes County Sheriff's Office,20 days 03:13:42.331570
Lowville Village Police Department,355 days 11:45:36.979544
Lubbock County Sheriff's Office,40 days 23:06:50.768733500
Lubbock Police Department,50 days 13:30:33.607422062
Luce County Sheriff,0 days 08:01:27.904414
Lufkin Police Department,20 days 02:03:29.702626
Lumberton Police Department,3 days 17:24:39.876854
Lumpkin County Sheriff's Office,25 days 18:00:07.527075
Lynchburg Police Department,138 days 11:09:26.321621
Lyndeborough Police Department,5 days 00:15:47.816871
Lynn Police Department,136 days 18:34:57.035077100
Lynnfield Police Department,17 days 19:00:00
MARTA Police Department,19 days 08:26:31.635824
MBTA Transit Police,44 days 02:10:54.545454545
Macomb County Sheriff,15 days 08:01:27.904414
Macon County Sheriff,6 days 07:46:57.698253
Macon County Sheriff's Office,481 days 02:16:58.451596
Macoupin County Sheriff's Office,12 days 21:12:27.369724
Madera County Sheriff's Office,93 days 00:53:06.002626667
Madera Police Department,13 days 20:00:00
Madison County Sheriff,47 days 17:31:54.961950
Madison County Sheriff's Department,20 days 16:20:19.890211500
Madison County Sheriff's Office,37 days 21:20:14.563344
Madison County Sheriff’s Office,59 days 20:08:15.355229
Madison Police Department,108 days 23:08:13.041118970
Madisonville Police Department,4 days 04:22:47.812690
Mahanoy Township Police Department,808 days 11:05:23.199159
Mahaska County Sheriff,261 days 20:00:00
Maine State Police,21 days 04:12:14.563544437
Malden Police Department,135 days 17:34:35.688507250
Malvern Police Department,97 days 11:05:23.199159
Malverne Village Police Department,119 days 00:08:18.669017
Mamaroneck Town Police Department,95 days 14:59:14.214874500
Mamou Police Department,148 days 17:57:24.468021
Manalapan Police Department,49 days 03:36:55.627211333
Manatee County Sheriff's Office,16 days 00:12:11.278022500
Manchester Center Police Department,8 days 08:00:00
Manchester Police Department,73 days 08:50:39.931273800
Mandan Police Department,38 days 19:00:00
Manhattan Beach Police Department,53 days 06:25:15.516917
Manheim Borough Police Department,16 days 19:00:00
Manor Township Police Department,6 days 19:00:00
Mansfield Police Department,179 days 02:51:42.211742250
Manteca Police Department,210 days 16:34:21.358442668
Maplewood Police Department,73 days 22:32:27.880992
Marana Police Department,6 days 10:15:14.262925
Marathon County Sheriff's Office,2 days 19:00:00
Marcellus Village Police Department,40 days 00:01:58.251993
Maricopa County Sheriff,79 days 12:29:50.881140111
Maricopa Police Department,4 days 19:00:00
Marietta Police Department,11 days 00:31:34.512067750
Marin County Sheriff,80 days 00:29:52.366446039
Marina Police Department,133 days 19:30:00
Marion County Sheriff,339 days 04:47:16.051006336
Marion County Sheriff's Office,31 days 07:25:01.767708
Marion County Sheriffs Office,38 days 09:05:12.241297
Mariposa County Sheriff,19 days 16:24:01.956310500
Marlborough Police Department,465 days 10:34:23.976968568
Marlborough Town Police Department,341 days 10:17:21.927878
Martin County Sheriff's Office,57 days 19:00:00
Martinez Police Department,9 days 12:42:55.440573500
Martinsburg Police Department,234 days 20:00:00
Martinsville Police Department IN,84 days 23:18:29.134670
Martinsville Police Department VA,88 days 00:10:38.047768
Maryland State Police,46 days 22:30:40.196706146
Marysville Police Department,17 days 23:00:17.585827500
Maryville Police Department,2 days 14:10:39.115670
Mason County Sheriff,5 days 08:01:27.904414
Mason County Sheriff's Office,341 days 22:06:32.043984500
Mass Maritime Academy Public Safety,13 days 19:00:00
Massac County Sheriff's Office,21 days 07:46:57.698253
Massachusetts College of Art and Design Public Safety,67 days 19:00:00
Massachusetts Environmental Police,358 days 05:30:00
Massachusetts Executive Office of Public Safety and Security - Office of the Chief Medical Examiner,268 days 00:53:09.304106668
Massachusetts Institute of Technology Police,10 days 08:03:31.568571
Massachusetts Sheriffs' Association,71 days 18:47:48.646212
Massachusetts State Police,96 days 15:06:57.193110582
Massena Village Police Department,97 days 06:20:48.850567
Maui County Police Department,19 days 11:47:31.611519
Maui Police Department,13 days 16:09:54.681035333
Maybrook Village Police Department,179 days 13:18:02.345104
Mayor's Office of Public Safety,36 days 20:00:00
Maywood Police Department,11 days 19:05:56.653332
McAlester Police Department,456 days 20:00:00
McAllen Police Department,348 days 00:53:59.778947500
McCulloch County Sheriff,12 days 20:00:00
McDonough Police Department,11 days 19:00:00
McFarland Police Department,52 days 20:00:00
McGraw Village Police Department,19 days 08:35:20.592485
McHenry County Sheriff,18 days 07:46:57.698253
McIntosh County Sheriff's Office,11 days 20:00:00
McIntosh County Sheriffs Office,38 days 20:33:35.328158
McKinney Police Department,110 days 01:20:46.924121918
McLean County Sheriff,5 days 00:56:00
McLennan County Sheriff,9 days 21:31:42.906637500
McMinn County Sheriff,49 days 00:56:00
Mcdonough County Sheriff's Office,13 days 07:46:57.698253
Mchenry Police Department Illinois,12 days 22:49:38.276428
Mcintosh County Sheriff's Office,27 days 15:10:14.525583
Mckee Kentucky Sheriff's Department,14 days 23:14:01.393276384
Meadville Police Department,5 days 00:02:58.807870
Mechanicville City Police Department,88 days 14:29:17.577599
Mecklenburg County Sheriff's Office,16 days 20:00:00
Mecosta County Sheriff’s Office,8 days 16:41:19.324969
Medfield Police Department,10 days 17:44:10.936316
Medford Police Department,804 days 05:24:44.288763648
Medina County Sheriff,2 days 20:00:00
Medina Police Department,3 days 19:00:00
Medina Village Police Department,196 days 23:51:49.722096
Medley Police Department,130 days 05:51:12.069202
Meigs Police Department,1188 days 21:28:13.484520
Melbourne Police Department,21 days 15:42:31.671576666
Melrose Police Department,30 days 18:32:50.018091
Memorial Villages Police Department,14 days 00:12:43.473575
Memphis International Airport Police  Department,575 days 11:19:59.362855
Memphis Police Department,120 days 20:17:52.312770678
Menasha Police,5 days 20:46:25.167236
Mendham Police Department,40 days 20:00:00
Mendocino County Sheriff's Department,25 days 10:16:24.393813
Menlo Park Police Department,464 days 19:04:26.253378664
Merced County Sheriff's Department,47 days 08:19:50.534780555
Merced Police Department,27 days 05:52:33.520154
Mercer County Sheriff,15 days 09:41:53.857717333
Mercer County Sheriff's Office,10 days 02:32:59.800741500
Meridian Police Department,16 days 07:30:00
Meriwether County Sheriffs Office,20 days 19:45:28.359782
Merriam Police Department,55 days 20:53:52.589527
Merrimack Police Department,34 days 05:07:51.225949
"Mesa County, CO Sheriff",46 days 20:00:00
Mesa Police Department,58 days 15:04:35.533577917
Mesquite Police Department,23 days 21:17:45.305523285
Mesquite Police Department NV,34 days 19:44:18.577657500
Metropolitan Nashville Police Department,36 days 01:06:39.811359500
Metropolitan Police Department,177 days 07:59:29.008321796
Metropolitan Transit Authority Police,111 days 00:29:33.813717
Metter Police Department,16 days 14:31:25.601836
Miami Beach Police Department,50 days 10:32:20.660891
Miami County Sheriff,3 days 20:39:08.492748500
Miami Gardens Police Department,26 days 01:43:41.002740333
Miami Police Department,108 days 11:04:33.166956024
Miami Springs Police Department,19 days 21:41:35.658308
Miami-Dade County Police,92 days 15:39:14.282760625
Michigan State Police,88 days 07:09:35.972671065
Middlesex County Sheriff,8 days 21:35:35.859801
Middlesex County Sheriff's Office,67 days 11:45:21.108976286
Middleton Police Department,251 days 19:05:02.267858248
Middletown Police Department,22 days 08:10:42.661862800
Midland County Sheriff,22 days 22:17:20.377901400
Midland Police Department,60 days 06:48:35.997288
Midlothian Police Department,595 days 15:22:10.581592
Midlothian Police Department TX,21 days 09:21:35.068100666
Midway Police Department,15 days 11:05:23.199159
Midwest City Police Department,17 days 16:05:37.582564
Milford Police Department,21 days 04:39:31.865587700
Mill Valley Police Department,20 days 01:44:46.789387857
Millburn Police Department,13 days 11:07:54.729097
Millcreek Police Department,149 days 15:54:41.838588
Miller County Sheriffs Office,66 days 22:09:30.983511
Millerton Village Police Department,39 days 15:25:49.243923
Millis Police Department,134 days 20:00:00
Millville Police Department,100 days 20:00:00
Milpitas Police Department,27 days 22:29:41.830267
Milton Police Department,86 days 19:36:52.323926585
Milwaukee County Sheriff,97 days 23:23:31.500252429
Milwaukee Police Department,73 days 22:04:48.698630917
Mineral County Sheriff's Office,917 days 13:04:20.112136992
Minneapolis Parks Police,30 days 03:56:01.120510
Minneapolis Police Department,90 days 15:24:05.315087630
Minnehaha County Sheriff,10 days 07:16:10.886218500
Minnesota Department of Public Safety,102 days 11:40:00
Minocqua Police Department,39 days 13:38:15.633709
Minot Police Department,3 days 20:00:00
Miramar Police Department,74 days 07:10:31.480407600
Mississippi County Sheriff,0 days 20:00:00
Mississippi Department of Public Safety,248 days 17:10:55.720307712
Missoula County Sheriff,1184 days 00:56:00
Missouri City Police Department,256 days 18:48:48.865260668
Missouri Department of Public Safety,12 days 14:34:17.142857142
Missouri Police Chiefs Association,14 days 11:05:23.199159
Moberly Police Department,31 days 07:13:37.344218
Mobile County Sheriff's Department,404 days 20:08:38.568138500
Mobile Police Department,225 days 23:56:00
Modesto Police Department,117 days 17:13:34.378503214
Modoc County Sheriff,20 days 20:05:04.624043500
Mohave County Sheriff's Office,31 days 20:00:00
Monmouth County Sheriff’s Office,22 days 05:47:33.554261333
Mono County Sheriff,13 days 07:42:06.813747
Monongalia County Sheriff's Office,6 days 14:33:47.183726
Monroe County Sheriff,29 days 00:58:38.402215666
Monroe County Sheriff's Department,419 days 15:38:40.423093
Monroe County Sheriff's Office,129 days 14:20:20.621852
Monroe Police Department,264 days 22:16:28.410645
Monroe Police Department Connecticut,8 days 16:34:58.009079
Monroe Village Police Department,19 days 20:00:00
Monrovia Police Department,18 days 14:26:38.568819333
Montague Police Department,14 days 06:11:37.088867
Montcalm County Sheriff,1 days 09:51:13.890334500
Montebello Police Department,59 days 16:02:54.832570500
Monterey County Sheriff’s Office,73 days 01:58:49.420962571
Monterey Park Police Departmentt,12 days 08:09:50.198302
Montgomery County Police Department,150 days 10:33:50.449837818
Montgomery County Sheriff,112 days 21:35:33.964630332
Montgomery County Sheriff's Department,20 days 23:30:34.934476
Montgomery County Sheriff's Office,166 days 05:19:11.571120910
"Montgomery County, Pa Sheriff's Office",55 days 22:29:10.250596
"Montgomery County, TX Sheriff",55 days 03:03:42.149433
Montgomery Police Department,466 days 12:44:26.843906008
Monticello Village Police Department,50 days 23:38:57.924236
Montmorency County Sheriff's Office,418 days 16:24:58.249630
Montpelier Police Department,2 days 19:59:41.651527500
Montrose County Sheriff's Office,0 days 20:00:00
Montville Police Department,32 days 21:34:17.562944
Montville Township Police Department,6 days 20:00:00
Mooresville Police Department,10 days 19:14:19.593105
Moravia village police department,59 days 21:48:54.557554500
Morehouse Parish Sheriff's Office,83 days 12:02:19.878516
Moreno Valley Police Department,85 days 06:59:32.217126
Morgan County Sheriff,13 days 01:11:03.679041500
Morgan County Sheriff's Office,148 days 05:14:19.225529200
Morgan Hill Police Department,11 days 02:10:38.168576500
Morgantown Police Department,43 days 23:34:55.825226
Moriah Town Police Department,904 days 23:08:45.542796
Morris County Sheriff,52 days 22:08:10.312700750
Morristown New Jersey Bureau Of Police,47 days 01:18:42.091308
Morton County Sheriff,133 days 04:17:08.571428572
Morton Grove Police Department,41 days 01:24:36.959457166
Morton Police Department,5 days 02:52:50.613100
Moultonborough Police Department,8 days 23:00:46.427451
Moultrie County Sheriff's Office,63 days 05:24:24.135340500
Mounds View Police Department,5 days 11:38:52.486651
Mount Hope Town Police Department,8 days 20:00:00
Mount Morris Village Police Department,228 days 23:33:59.847562
"Mount Olive Township Police Department, Budd Lake",27 days 23:31:40.471648
Mount Pleasant Police Department,67 days 20:00:00
Mount Prospect Police Department,19 days 09:39:25.940016142
Mountain View Police Department,14 days 14:14:37.778339666
Mower County Sheriff's Department,142 days 20:00:00
"Mt Lebanon Police Department, Mt Lebanon",43 days 11:21:34.035997
Mt Pleasant Police Department,13 days 20:00:00
Mt. Shasta Police Department,11 days 20:30:24.559369
Multnomah County Sheriff's Office,25 days 02:33:17.195453142
Muncie Police Department,27 days 20:00:00
Mundelein Police Department,56 days 22:20:23.134726
Municipal Police Training Committee,521 days 20:29:07.796810752
Munster Police Department,7 days 19:00:00
Murfreesboro Police Department,297 days 20:00:00
Murray County Sheriff's Office,116 days 13:17:17.133042500
Murrieta Police Department,204 days 08:19:21.575347600
Muscatine County Sheriff,1 days 20:00:00
Muscogee County Sheriff,23 days 20:35:55.645699
Muskegon County Sheriff,18 days 16:00:29.301471333
Muskegon Police Department,12 days 06:21:36.655497500
Muskogee County Sheriff,1136 days 00:56:00
Muskogee Police Department,12 days 00:26:15.900400
Myrtle Beach Police Department,30 days 20:00:00
Nacogdoches County Sheriff,50 days 17:12:12.473925
Nahant Police Department,5 days 19:00:00
Nantucket County Sheriff’s Department,63 days 09:05:00.721461333
Nantucket Police Department,20 days 19:17:38.047880166
Napa County Sheriff,77 days 21:05:46.285500250
Napa Police Department,25 days 06:06:13.037881750
Naperville Police Department,88 days 12:59:40.986798444
Narragansett Police Department,1 days 08:00:00
Nash County Sheriff,55 days 03:30:47.203084
Nashua Police Department,31 days 19:51:35.846226
Nassau County Police Department,92 days 00:07:15.239396632
Nassau County Sheriff,889 days 11:11:09.255816992
Nassau County Sheriff's Office,106 days 19:25:41.551273
Natick Police Department,11 days 16:51:42.117219545
National City Police Department,116 days 20:35:06.804842500
Navarro County Sheriff,0 days 20:00:00
Needham Police Department,7 days 19:00:00
Neshoba County Sheriff's Department,5 days 15:00:54.300039
Nevada City Police Department,103 days 06:03:18.140650
Nevada County Sheriff,21 days 16:48:53.131258800
Nevada Department of Public Safety,45 days 15:48:43.636363636
New Bedford Police Department,24 days 01:51:28.065833470
New Berlin Police Department,34 days 20:00:00
New Bern Police Department,23 days 11:07:08.475113
New Brighton Public Safety,11 days 00:04:34.455864
New Brunswick Police (New Jersey),32 days 09:30:15.990122
New Castle County Police Department,23 days 19:47:30.343510461
New Castle County Sheriff,0 days 20:00:00
New Castle Police Department,516 days 23:56:00
New Hampshire State Police,150 days 22:46:15.768820678
New Hanover County Sheriff's Office,113 days 13:20:23.653067
New Hartford Town Police Department,25 days 07:35:11.073527
New Haven Police Department,198 days 02:18:24.252346752
"New Jersey Department Of Law And Public Safety, Division Of Gaming Enforcement",234 days 05:56:55.227731
New Jersey State Police,53 days 22:49:16.444892490
New Lenox Police Department,3 days 17:07:46.661397
New Mexico Department of Public Safety,85 days 04:00:00
"New Mexico Department of Public Safety, Grants Management Bureau",45 days 20:00:00
New Mexico State Police,111 days 13:28:10.970866258
New Middletown Village Police Department,16 days 23:42:40.628223
New Orleans Police Department,81 days 19:16:58.874150222
