Agency,Awaiting Acknowledgement,Awaiting Appeal,Awaiting Response,Completed,Fix Required,In Litigation,No Responsive Documents,Partially Completed,Payment Required,Processing,Rejected,Withdrawn,Total Number of Requests
Concord Police Department,10.3448,0.0,0.0,41.3793,3.4483,0.0,24.1379,3.4483,6.8966,0.0,3.4483,6.8966,29
Vermont State Police,14.2857,0.0,4.7619,41.2698,11.1111,0.0,23.8095,0.0,3.1746,0.0,1.5873,0.0,63
Louisville Metro Police,0.0,1.9608,1.9608,41.1765,19.6078,0.0,21.5686,0.0,0.0,0.0,5.8824,7.8431,51
Idaho State Police,0.0,0.0,2.2727,40.9091,18.1818,0.0,25.0,0.0,11.3636,0.0,2.2727,0.0,44
Cook County Sheriff,1.8519,1.8519,3.7037,40.7407,9.2593,1.8519,24.0741,1.8519,0.0,0.0,9.2593,5.5556,54
Springfield Police Department,10.9375,1.5625,6.25,40.625,1.5625,0.0,20.3125,1.5625,3.125,0.0,7.8125,6.25,64
King County Sheriff's Office,0.0,0.0,21.6216,40.5405,13.5135,0.0,13.5135,2.7027,5.4054,0.0,2.7027,0.0,37
Tacoma Police Department,0.0,0.0,2.1277,40.4255,4.2553,0.0,40.4255,0.0,0.0,0.0,4.2553,8.5106,47
Cleveland Police Department,0.0,1.3699,12.3288,39.726,9.589,0.0,23.2877,1.3699,0.0,0.0,10.9589,1.3699,73
Police,12.5,0.0,2.0833,39.5833,8.3333,0.0,33.3333,0.0,4.1667,0.0,0.0,0.0,48
Oklahoma City Police Department,0.0,1.3333,4.0,38.6667,10.6667,0.0,29.3333,1.3333,0.0,1.3333,10.6667,2.6667,75
Lynn Police Department,3.8462,0.0,3.8462,38.4615,0.0,0.0,42.3077,0.0,3.8462,0.0,3.8462,3.8462,26
San Francisco Police Department,0.0,0.0,19.0476,38.0952,5.291,0.0,22.7513,5.291,0.0,0.0,6.3492,3.1746,189
Department of Public Safety,0.0,0.0,1.5152,37.8788,9.0909,0.0,28.7879,3.0303,6.0606,0.0,1.5152,12.1212,66
Providence Police Department,0.0,2.8571,0.0,37.1429,5.7143,0.0,40.0,0.0,2.8571,0.0,5.7143,5.7143,35
Wilmington Police Department,8.5714,0.0,5.7143,37.1429,2.8571,0.0,14.2857,0.0,0.0,0.0,22.8571,8.5714,35
Dallas Police Department,0.0,0.0,11.1111,35.5556,15.5556,1.1111,18.8889,1.1111,5.5556,0.0,4.4444,6.6667,90
Boston Police Department,0.271,0.542,9.4851,35.5014,9.2141,0.0,24.3902,1.897,1.626,0.0,5.9621,11.1111,369
Mesa Police Department,0.0,2.9412,2.9412,35.2941,11.7647,0.0,14.7059,2.9412,2.9412,0.0,17.6471,8.8235,34
Newark Police Department,3.7037,0.0,9.2593,35.1852,12.963,0.0,27.7778,0.0,0.0,0.0,3.7037,7.4074,54
Maryland State Police,1.6667,0.0,3.3333,35.0,8.3333,0.0,35.0,0.0,8.3333,0.0,5.0,3.3333,60
Miami Police Department,2.6667,0.0,20.0,34.6667,10.6667,0.0,16.0,1.3333,8.0,0.0,4.0,2.6667,75
Department of Public Safety and Correctional Services,7.6923,0.0,3.8462,34.6154,30.7692,0.0,7.6923,0.0,3.8462,0.0,3.8462,7.6923,26
Las Vegas Metropolitan Police Department,3.4483,0.0,12.6437,34.4828,12.6437,0.0,24.1379,1.1494,5.7471,0.0,2.2989,3.4483,87
Police Department,10.9589,0.0,2.7397,34.2466,12.3288,0.0,21.9178,1.3699,4.1096,0.0,5.4795,6.8493,73
Los Angeles County Sheriff's Department,1.4388,0.0,15.8273,33.8129,5.036,0.0,24.4604,1.4388,0.7194,0.0,12.9496,4.3165,139
St. Louis County Police Department,4.5977,0.0,1.1494,33.3333,2.2989,0.0,17.2414,4.5977,10.3448,0.0,9.1954,17.2414,87
Houston Police Department,0.0,0.0,9.9099,33.3333,14.4144,2.7027,21.6216,0.9009,7.2072,0.0,3.6036,6.3063,111
Richmond Police Department,0.0,0.0,1.8519,33.3333,12.963,0.0,40.7407,1.8519,7.4074,0.0,1.8519,0.0,54
Pierce County Sheriff's Department,0.0,0.0,3.7037,33.3333,11.1111,0.0,37.037,3.7037,3.7037,0.0,7.4074,0.0,27
Illinois State Police,2.3256,3.4884,8.1395,32.5581,5.814,0.0,39.5349,0.0,1.1628,0.0,6.9767,0.0,86
St. Louis Metropolitan Police Department,3.6145,0.0,8.4337,32.5301,10.8434,0.0,24.0964,4.8193,9.6386,0.0,1.2048,4.8193,83
New Hampshire State Police,3.7736,0.0,16.9811,32.0755,7.5472,0.0,28.3019,0.0,3.7736,0.0,7.5472,0.0,53
Massachusetts State Police,3.3195,2.0747,3.7344,31.9502,4.9793,0.4149,15.7676,2.0747,5.3942,0.4149,17.8423,12.0332,241
Prince George's County Police Department,21.0526,0.0,2.6316,31.5789,2.6316,0.0,39.4737,0.0,0.0,0.0,2.6316,0.0,38
El Paso Police Department,0.0,0.0,14.8148,31.4815,11.1111,0.0,16.6667,0.0,7.4074,0.0,9.2593,9.2593,54
Los Angeles Police Department,1.6949,0.4237,4.661,31.3559,3.3898,0.0,30.0847,1.2712,0.8475,0.0,22.0339,4.2373,236
Virginia Beach Police Department,3.4483,0.0,0.0,31.0345,10.3448,0.0,17.2414,0.0,6.8966,0.0,27.5862,3.4483,29
Burlington Police Department,0.0,0.0,0.0,31.0345,6.8966,0.0,13.7931,10.3448,3.4483,3.4483,24.1379,6.8966,29
Ferguson Police Department,0.0,0.0,0.0,30.9524,4.7619,0.0,40.4762,2.381,0.0,0.0,14.2857,7.1429,42
Harris County Sheriff,11.1111,5.5556,2.7778,30.5556,16.6667,2.7778,27.7778,0.0,0.0,0.0,0.0,2.7778,36
Charlottesville Police Department,2.0,0.0,2.0,30.0,16.0,0.0,16.0,2.0,0.0,0.0,26.0,6.0,50
Kentucky State Police,23.4043,0.0,4.2553,29.7872,2.1277,0.0,23.4043,2.1277,0.0,0.0,12.766,2.1277,47
Seattle Police Department,0.6135,0.6135,16.8712,29.7546,4.908,0.0,14.1104,4.908,15.9509,0.0,3.9877,8.2822,326
Hawaii Department of Public Safety,0.0,0.0,2.7027,29.7297,10.8108,0.0,35.1351,0.0,10.8108,0.0,5.4054,5.4054,37
Salem Police Department,0.0,0.0,2.9412,29.4118,14.7059,0.0,26.4706,2.9412,2.9412,0.0,5.8824,14.7059,34
Connecticut State Police,0.0,1.7241,25.8621,29.3103,5.1724,0.0,27.5862,0.0,1.7241,0.0,3.4483,5.1724,58
Suffolk County Sheriff's Department,0.0,0.0,5.7692,28.8462,9.6154,0.0,46.1538,0.0,7.6923,0.0,1.9231,0.0,52
Multnomah County Sheriff's Office,6.25,0.0,25.0,28.125,12.5,0.0,15.625,0.0,3.125,0.0,6.25,3.125,32
Spokane County Sheriff's Office,0.0,0.0,8.0,28.0,0.0,0.0,36.0,4.0,12.0,0.0,4.0,8.0,25
Miami-Dade County Police,1.6393,0.0,9.8361,27.8689,14.7541,0.0,18.0328,3.2787,6.5574,0.0,6.5574,11.4754,61
Maine State Police,2.1277,0.0,2.1277,27.6596,10.6383,0.0,34.0426,0.0,2.1277,0.0,10.6383,10.6383,47
Kansas City Police Department,0.0,0.0,5.0847,27.1186,18.6441,0.0,32.2034,1.6949,6.7797,0.0,5.0847,3.3898,59
Lee County Sheriff's Office,10.0,10.0,3.3333,26.6667,10.0,0.0,20.0,0.0,3.3333,0.0,10.0,6.6667,30
Maricopa County Sheriff,0.0,3.3333,0.0,26.6667,3.3333,0.0,30.0,3.3333,13.3333,0.0,10.0,10.0,30
Phoenix Police Department,2.4096,0.0,15.6627,26.506,13.253,0.0,24.0964,0.0,4.8193,0.0,6.0241,7.2289,83
Sheriff's Office,0.0,0.0,5.2632,26.3158,5.2632,0.0,50.0,2.6316,0.0,0.0,7.8947,2.6316,38
Broward County Sheriff,0.0,0.0,14.0,26.0,14.0,0.0,22.0,2.0,8.0,0.0,4.0,10.0,50
Indiana State Police,1.8519,0.0,1.8519,25.9259,27.7778,0.0,37.037,0.0,0.0,0.0,3.7037,1.8519,54
Quincy Police Department,3.7037,0.0,7.4074,25.9259,0.0,0.0,51.8519,0.0,0.0,0.0,7.4074,3.7037,27
Fairfax County Police Department,0.0,0.0,0.0,25.4902,29.4118,0.0,15.6863,1.9608,11.7647,0.0,9.8039,5.8824,51
Tampa Police Department,30.9091,1.8182,1.8182,25.4545,10.9091,0.0,16.3636,0.0,3.6364,0.0,1.8182,7.2727,55
Metropolitan Police Department,4.0936,0.0,19.2982,25.1462,4.0936,0.0,16.3743,0.0,0.0,0.0,17.5439,13.4503,171
New Jersey State Police,2.8986,0.0,8.6957,24.6377,2.8986,0.0,17.3913,0.0,0.0,0.0,40.5797,2.8986,69
New Mexico State Police,6.1224,0.0,2.0408,24.4898,2.0408,0.0,36.7347,0.0,2.0408,0.0,0.0,26.5306,49
Delaware State Police,29.0909,0.0,1.8182,23.6364,1.8182,0.0,20.0,1.8182,0.0,0.0,16.3636,5.4545,55
Oakland Police Department,1.2346,0.0,23.4568,23.4568,11.1111,0.0,24.6914,7.4074,0.0,0.0,4.9383,3.7037,81
Michigan State Police,1.5625,0.0,4.6875,23.4375,9.375,0.0,9.375,0.0,26.5625,1.5625,12.5,10.9375,64
Memphis Police Department,0.0,0.0,21.1538,23.0769,17.3077,0.0,19.2308,0.0,0.0,1.9231,11.5385,5.7692,52
Reno Police Department,0.0,2.2727,20.4545,22.7273,25.0,0.0,6.8182,6.8182,2.2727,0.0,9.0909,4.5455,44
Worcester Police Department,22.2222,0.0,11.1111,22.2222,0.0,0.0,24.4444,2.2222,2.2222,0.0,4.4444,11.1111,45
Milwaukee Police Department,13.8889,2.7778,13.8889,22.2222,1.3889,0.0,23.6111,0.0,4.1667,0.0,16.6667,1.3889,72
Detroit Police Department,1.0526,2.1053,7.3684,22.1053,11.5789,0.0,15.7895,1.0526,14.7368,0.0,17.8947,6.3158,95
Spokane Police Department,0.0,0.0,17.0732,21.9512,17.0732,0.0,17.0732,0.0,0.0,0.0,21.9512,4.878,41
Baton Rouge Police Department,0.0,0.0,3.5714,21.4286,17.8571,0.0,21.4286,3.5714,21.4286,0.0,3.5714,7.1429,28
New York State Police,0.0,1.2195,4.878,20.7317,8.5366,0.0,37.8049,1.2195,3.6585,0.0,18.2927,3.6585,82
San Diego County Sheriff,0.0,0.0,3.4483,20.6897,48.2759,0.0,13.7931,0.0,0.0,0.0,13.7931,0.0,29
Honolulu Police Department,8.1633,0.0,16.3265,20.4082,14.2857,0.0,16.3265,4.0816,6.1224,0.0,0.0,14.2857,49
Albuquerque Police Department,0.0,0.0,4.8387,19.3548,6.4516,0.0,14.5161,1.6129,0.0,0.0,48.3871,4.8387,62
Lawrence Police Department,26.9231,0.0,7.6923,19.2308,0.0,0.0,19.2308,0.0,0.0,0.0,15.3846,11.5385,26
Jacksonville Sheriff's Office,0.0,0.0,27.907,18.6047,9.3023,0.0,30.2326,0.0,6.9767,0.0,4.6512,2.3256,43
New York City Police Department,0.3597,2.3381,8.4532,17.9856,0.3597,0.0,15.8273,0.7194,0.3597,0.0,44.7842,8.8129,556
Riverside County Sheriff,0.0,0.0,6.8966,17.2414,6.8966,0.0,48.2759,0.0,6.8966,0.0,10.3448,3.4483,29
Pennsylvania State Police,22.5352,0.0,7.0423,16.9014,0.0,0.0,23.9437,1.4085,0.0,0.0,21.1268,7.0423,71
Salt Lake City Police Department,0.0,0.0,12.9032,16.129,9.6774,0.0,45.1613,3.2258,0.0,0.0,0.0,12.9032,31
Virginia State Police,0.0,2.6316,2.6316,15.7895,10.5263,0.0,23.6842,1.3158,11.8421,0.0,23.6842,7.8947,76
New Orleans Police Department,11.8644,0.0,6.7797,13.5593,3.3898,0.0,37.2881,3.3898,5.0847,0.0,13.5593,5.0847,59
West Virginia State Police,6.25,0.0,2.0833,12.5,18.75,0.0,37.5,2.0833,6.25,0.0,4.1667,10.4167,48
Philadelphia Police Department,29.0323,0.6452,2.5806,12.2581,1.2903,0.6452,29.6774,0.6452,0.0,0.0,16.129,7.0968,155
Nassau County Police Department,23.5294,0.0,11.7647,11.7647,5.8824,0.0,23.5294,2.9412,0.0,0.0,11.7647,8.8235,34
Portland Police Bureau,0.0,1.6807,4.2017,11.7647,13.4454,0.0,11.7647,1.6807,4.2017,0.0,35.2941,15.9664,119
Louisiana State Police,11.3636,0.0,2.2727,11.3636,4.5455,0.0,29.5455,0.0,18.1818,0.0,20.4545,2.2727,44
Metropolitan Nashville Police Department,0.0,0.0,0.0,11.3208,45.283,0.0,7.5472,1.8868,3.7736,0.0,13.2075,16.9811,53
Oregon State Police,1.6129,3.2258,0.0,9.6774,6.4516,0.0,46.7742,1.6129,20.9677,0.0,3.2258,6.4516,62
Birmingham Police Department,0.0,0.0,18.5185,3.7037,55.5556,0.0,7.4074,0.0,0.0,0.0,3.7037,11.1111,27
Montgomery County Police Department,36.1702,0.0,27.6596,2.1277,0.0,0.0,8.5106,0.0,0.0,0.0,17.0213,8.5106,47
