,Agency,Avg Days Till Completion
1059,Hemet Police Department,17 days 07:17:46.511162
1060,Henderson County Sheriff's Office,13 days 20:58:02.947786
1061,Henderson Police,53 days 17:26:05.694191429
1062,Henderson Police Department,82 days 09:27:27.601950111
1063,Hendry County Sheriff,75 days 21:57:10.397003
1064,Hennepin County Sheriff,107 days 22:05:25.254437412
1065,Hennepin County Sheriff's Office,40 days 02:06:15.740609428
1066,Henrico County Sheriff,0 days 02:23:38.616590
1067,Henry County Sheriff,83 days 07:41:05.145858
1068,Hercules Police Department,21 days 15:48:34.976653
1069,Herkimer County Sheriff's Office,20 days 11:20:05.255677
1070,Hermosa Beach Police Department,17 days 19:36:50.447945666
1071,Hernando County Sheriff's Department,43 days 06:47:33.365548800
1072,Herndon Police Department,18 days 05:32:55.882742250
1073,Hialeah Gardens Police Department,33 days 23:19:44.790381
1074,Hialeah Police Department,135 days 11:29:43.409606800
1075,Hickory Hills Police Department,19 days 21:01:16.319253
1076,Hidalgo County Sheriff's Office,171 days 11:33:10.288216750
1077,High Point Police Department,60 days 00:42:50.135911
1078,Highland County Sheriff,201 days 20:59:21.898550
1079,Highland Park Dept of Public Safety,87 days 05:15:53.872213500
1080,Highland Park Police Department,6 days 19:30:00
1081,Hill Country Village Police Department,14 days 00:24:20.661835
1082,Hillsboro Police Department,490 days 23:25:51.922193
1083,Hillsborough County Sheriff,37 days 23:41:48.560073
1084,Hillsborough Police Department,3 days 22:54:04.143581500
1085,Hillsdale County Sheriff's Office,23 days 05:16:53.199213500
1086,Hinds County Sheriff,210 days 20:00:00
1087,Hinesville Police Department,19 days 11:05:23.199159
1088,Hingham Police Department,303 days 07:30:00
1089,Hinsdale County Sheriffs Office,8 days 23:24:35.465400
1090,Hinsdale Police Department,119 days 09:35:00.423033
1091,Hiram Police Department,2 days 11:00:24.334969
1092,Hobbs Police Department,176 days 08:39:29.577399666
1093,Hocking County Sheriff,14 days 20:00:00
1094,Hogansville Police Department,8 days 21:47:25.328531
1095,Holbrook Police Department,1 days 19:41:50.146228
1096,Holden Police Department,59 days 18:45:16.840344
1097,Hollis Police Department,11 days 23:18:00.744857
1098,Hollister Police Department,0 days 18:06:55.992074
1099,Holly Springs Police Department,17 days 19:29:16.922474
1100,Hollywood Park Police Department,0 days 21:57:00.640947
1101,Hollywood Police Department,195 days 10:26:05.438840198
1102,Holmes County Sheriff's Department,50 days 23:37:13.813162
1103,Holmes County Sheriff's Office,66 days 00:47:13.394367667
1104,Homestead Police Department,83 days 02:35:26.268100
1105,Homestead Police Department (PA),18 days 11:05:23.199159
1106,Homewood Police Department,56 days 11:05:23.199159
1107,Honolulu Police Department,310 days 18:12:27.926298524
1108,Hooksett Police Department,49 days 20:49:39.670346
1109,Hoosick Falls Village Police Department,370 days 19:49:58.940064
1110,Hopkinton Police Department,27 days 20:29:56.363976750
1111,Horn Lake Police Department,0 days 10:02:19.839458
1112,Hornell City Police Department,350 days 05:20:00.296141
1113,Horry County Police Department,19 days 20:00:00
1114,Horry County Sheriff's Office,906 days 10:38:49.648048992
1115,Hot Spring County Sheriff's Office,10 days 10:14:21.860141
1116,Houston County Sheriff,7 days 12:58:13.866375600
1117,Houston County Sheriff's Office,174 days 21:33:21.362472
1118,Houston Police Department,58 days 11:46:46.867798829
1119,Howard County Police Department,251 days 14:43:41.180109112
1120,Howard County Sheriff,18 days 19:07:01.319037
1121,Howard County Sheriff's Office,81 days 19:42:29.646032
1122,Hudson County Sheriff's Department,29 days 21:55:12.667644
1123,Hudson Falls Village Police Department,35 days 07:49:32.693627
1124,Hudson Police Department,12 days 13:23:44.282471500
1125,Huerfano County Sheriffs Office,15 days 20:00:00
1126,Hughes County Sheriff's Department,7 days 19:39:33.378970
1127,Hull Police Department,127 days 07:30:00
1128,Humboldt County Sheriff's Office,86 days 12:03:02.302748143
1129,Hunterdon County Sheriff's Office,5 days 18:29:31.592417
1130,Huntingdon County Sheriff,73 days 00:53:50.401615
1131,Huntington Bay Village Police Department,83 days 04:31:46.588080
1132,Huntington Beach Police Department,69 days 02:12:35.350901375
1133,Huntington Park Police Department,50 days 13:27:56.445107666
1134,Huntington Police Department,15 days 02:27:40.412160750
1135,Huntsville Police Department,247 days 01:13:40.545991112
1136,Huron City Police Department,24 days 15:56:49.273792
1137,Huron County Sheriff,95 days 16:25:25.480826
1138,Hurricane City Police Department,127 days 20:00:00
1139,Hurst Police Department,1 days 20:00:00
1140,Hyattsville Police Department,191 days 03:16:05.304387
1141,Hyde Park Town Police Department,357 days 08:50:49.483990
1142,Iberia Parish Sheriff's Office,83 days 20:00:00
1143,Iberville Parish Sheriff's Office,309 days 23:56:00
1144,Idaho State Police,34 days 10:30:23.307889033
1145,Illinois State Police,44 days 07:50:56.980348609
1146,Imperial County Sheriff's Office,131 days 00:35:20.862379250
1147,Independence County Sheriff's Office,14 days 21:34:09.283162
1148,Independence Police Department,322 days 10:20:46.652169500
1149,Independent Police Department,197 days 08:52:20.579934
1150,Independent Police Review Authority,116 days 21:40:21.038495700
1151,Indian Creek Village Police Department,29 days 19:21:37.708450666
1152,Indian Hills Police Department,4 days 00:57:57.407983
1153,Indian River County Sheriff's Department,48 days 08:14:17.599250750
1154,Indian River Shores Public Safety Department,20 days 13:22:40.921753
1155,Indiana Integrated Public Safety Commission,37 days 20:00:00
1156,Indiana State Police,89 days 08:50:40.457307157
1157,Indiana University Police Department,48 days 22:19:26.184063
1158,Indianapolis Metropolitan Police Department,35 days 22:14:19.112957836
1159,Ingham County Sheriff,139 days 17:11:26.100315500
1160,Inglewood Police Department,571 days 19:00:01.702768256
1161,Ingram Police Department,13 days 19:18:41.072055
1162,Inkster Police Department,4 days 20:00:00
1163,Inlet Town Police Department,85 days 04:57:17.065594
1164,Interlaken Village Police Department,243 days 09:42:33.971322
1165,Inyo County Sheriff,20 days 20:51:10.148396
1166,Ionia County Sheriff's Office,11 days 21:47:54.614675
1167,Iosco County Sheriff's Office,14 days 18:24:06.483487
1168,Iowa City Police Department,9 days 12:14:03.729692750
1169,Iowa Department of Public Safety,73 days 10:55:48.674897118
1170,"Iowa Department of Public Safety, Division of Criminal Investigation",0 days 20:00:00
1171,Iredell County Sheriff,17 days 15:29:20.716333
1172,Irondale Police,45 days 08:43:27.948809
1173,Irondequoit Police Department,49 days 06:05:10.599579500
1174,Iroquois County Sheriff's Office,21 days 19:44:09.061581
1175,Irvine Police Department,128 days 12:32:12.312747546
1176,Irving Police Department,22 days 13:04:53.627671615
1177,Irvington Village Police Department,245 days 14:18:05.676333
1178,Isanti County Sheriff,7 days 19:09:55.018119
1179,Island County Sheriff's Office,17 days 01:07:06.271805500
1180,Itasca Police Department,33 days 04:12:51.318604
1181,Ithaca Police Department,99 days 09:01:09.784964
1182,Iuka Police Department,307 days 12:23:45.828441
1183,Izard County Sheriff'S Office,3 days 00:54:38.798140
1184,Jackson County Sheriff,120 days 16:59:41.927077
1185,Jackson County Sheriff's Office,296 days 02:57:02.267120712
1186,Jackson County Sheriffs Office,40 days 07:34:01.766296500
1187,Jackson County Sheriff’s Office,80 days 13:24:48.358773
1188,Jackson Parish Sheriff's Office,15 days 08:00:00
1189,Jackson Police Department,92 days 10:52:25.065120667
1190,Jacksonville Beach Police Department,10 days 15:12:58.744613
1191,Jacksonville Police Department,63 days 11:27:36.791849667
1192,Jacksonville Sheriff's Office,77 days 05:34:07.532350001
1193,Jamestown Police Department,9 days 20:00:00
1194,Jasper County Sheriff's Office,19 days 18:31:46.150462
1195,Jefferson City Police Department,31 days 13:27:38.495596
1196,Jefferson County Sheriff,32 days 17:05:52.556811750
1197,Jefferson County Sheriff's Department,216 days 06:30:42.656512232
1198,Jefferson County Sheriff's Department (wa),0 days 21:37:35.590864
1199,Jefferson County Sheriff's Office,256 days 10:11:14.750639500
1200,Jefferson County Sheriffs Office,21 days 14:27:56.596447
1201,Jefferson County TX Sheriff Office,18 days 11:05:23.199159
1202,Jefferson Davis Parish Sheriff's Office,38 days 20:00:00
1203,Jefferson Parish Sheriff,54 days 04:28:00.374034
1204,Jefferson Parish Sheriff's Office,116 days 20:00:00
1205,Jefferson Police Department,29 days 20:00:00
1206,Jersey City Police Department,212 days 00:57:20.422901748
1207,Jersey County Sheriff's Office,74 days 23:29:35.601540
1208,Jo Daviess County Sheriff's Office,18 days 18:05:39.831513
1209,Johnson County Sheriff,14 days 05:13:22.755262
1210,Johnson County Sheriff's Office,190 days 21:18:07.399504
1211,Johnston County Sheriff's Office,40 days 18:36:39.477561500
1212,Johnston Police Department,15 days 04:53:57.775948600
1213,Joliet Police Department,9 days 19:00:00
1214,Jones County Sheriff's Office,25 days 21:26:30.899983200
1215,Jonesboro Police Department,210 days 18:18:54.081992500
1216,Jupiter Police Department,31 days 20:36:21.752976
1217,Justice And Public Safety Cabinet,29 days 18:50:54.361024
1218,Kalamazoo County Sheriff,79 days 20:35:55.454104
1219,Kalkaska County Sheriff's Office,12 days 17:13:08.445745
1220,Kanawha County Sheriff,1175 days 11:56:00
1221,Kane County Sheriff,8 days 20:32:43.381002500
1222,Kane County Sheriff's Department,9 days 22:47:31.694363
1223,Kansas City Kansas Police Department,128 days 00:20:08.431753
1224,Kansas City Police Department,67 days 06:32:19.944071548
1225,Karnes County Sheriff,10 days 20:00:00
1226,Kauai Police Department,71 days 10:24:00
1227,Kaukauna Police,14 days 14:31:21.692719
1228,Keene Police Department,120 days 20:12:55.115770
1229,"Keller, TX Police Department",10 days 13:45:00
1230,Kemper County Sheriff,279 days 10:11:42.518284
1231,Kendall County Sheriff,10 days 20:41:26.087668
1232,Kennesaw Police Department,122 days 20:12:43.906261
1233,Kennesaw State University Police,5 days 18:08:15.248827
1234,Kennett Square Police Department,91 days 20:47:14.976856
1235,Kennewick Police,46 days 07:24:28.727774
1236,Kenosha County Sheriff,12 days 20:31:08.303296
1237,Kenosha Police Department,192 days 13:09:16.383718776
1238,Kensington Police Protection and Community Services District,17 days 19:00:00
1239,Kent County Sheriff,34 days 01:16:56.015620500
1240,Kent County Sheriff's Office,0 days 01:42:52.866043
1241,Kent Police Department,78 days 03:21:28.805381500
1242,Kentucky State Police,55 days 11:04:17.130727828
1243,Kentwood Police Department,261 days 17:36:18.870515
1244,Kern County Sheriff's Office,62 days 15:08:20.795953317
1245,Kershaw County Sheriff,1 days 03:31:41.085848
1246,"Kettering, OH Police Department",23 days 07:30:00
1247,Key Colony Beach Police Department,8 days 11:21:22.832376
1248,Key West Police Department,65 days 05:36:30.692328
1249,Killeen Police Department,157 days 01:42:13.653932224
1250,Kinder Police Department,1116 days 14:36:12.807891008
1251,King County Sheriff's Office,90 days 04:29:37.561335091
1252,King George County Sheriff's Office,0 days 08:57:45.130240
1253,Kings County Sheriff,88 days 09:00:31.749498
1254,Kings Point Police Department,122 days 06:48:24.051481334
1255,Kingsburg Police Department,10 days 20:35:13.541559
1256,Kingston Police Department,55 days 10:42:08.018478
1257,Kiowa County Sheriffs Office,153 days 20:53:23.907459
1258,Kirkland Police Department,14 days 21:33:31.262285
1259,Kirkwood Police Department,373 days 17:07:23.208769
1260,Kissimmee Police Department,48 days 16:16:54.313656
1261,Kit Carson County Sheriffs Office,477 days 20:00:00
1262,Kitsap County Sheriff's Office,22 days 19:13:44.763929250
1263,Knox County Sheriff,39 days 06:27:32.053589
1264,Knox County Sheriff's Office,435 days 00:55:30.901326
1265,Knoxville Police Department,13 days 19:24:00
1266,Kootenai County Sheriff,4 days 12:07:26.870321
1267,Kosciusko County Sheriff's Department,11 days 00:30:54.638835
1268,Kyle Police Department,12 days 02:38:38.199159
1269,La Crescent Police Department,53 days 09:57:42.915672
1270,La Crosse Police Department,62 days 20:00:00
1271,La Habra Police Department,16 days 08:29:55.439890
1272,"La Mesa, CA Police Department",18 days 04:22:43.936478400
1273,La Palma Police Department,188 days 13:58:24.518178500
1274,La Paz County Sheriff,11 days 20:19:58.941440
1275,La Plata Police Department,3 days 19:00:00
1276,La Salle County Sheriff,13 days 08:14:02.138990500
1277,La Verne Police Department,46 days 23:44:55.039750
1278,Lacey Police Department,10 days 02:42:15.695409
1279,Lackawanna City Police Department,74 days 08:53:52.332764
1280,"Lackawanna County, Pa Sheriff's Office",21 days 18:29:26.639383
1281,Lacy Lakeview Police Department,6 days 02:12:20.894003
1282,Lafayette County Sheriff's Office,25 days 07:51:34.811253333
1283,Lafayette Police Department,51 days 14:52:57.173652833
1284,Lafourche Parish Sheriff's Office,14 days 08:37:12.563178
1285,Laguna Beach Police Department,14 days 03:02:36.372587500
1286,Lake Arthur Police Department,550 days 22:47:30.573275
1287,Lake Charles Police Department,13 days 14:08:24.939321
1288,Lake County Sheriff,10 days 17:50:47.027827125
1289,Lake County Sheriff's Office,120 days 23:35:05.636539858
1290,Lake Forest Police Park Department,11 days 22:40:20.422290
1291,Lake Mills Police Department,4 days 18:04:20.843306
1292,Lake Oswego Police Department,31 days 21:29:59.548308
1293,Lake Ozark Police Department,264 days 11:05:23.199159
1294,Lake Placid Police Department,4 days 20:00:00
1295,Lake Shastina Police Department,12 days 16:37:56.737665
1296,Lake Success Village Police Department,265 days 16:30:04.958893
1297,Lake Villa Police Department,1 days 20:00:00
1298,"Lake Zurich Police Department, Illinois",0 days 10:55:34.810845
1299,Lakeland Police Department,133 days 14:05:21.023062334
1300,Lakeville Police Department,83 days 12:53:23.242059500
1301,Lakeway Police Department,4 days 00:22:54.573551
1302,Lakewood Police Department,60 days 21:49:45.738425600
1303,Lakewood-Busti Village Police Department,201 days 00:35:43.068214
1304,Lamar County Sheriff's Department,384 days 02:45:50.711845500
1305,Lancaster Bureau of Police,23 days 21:57:25.905877
1306,Lancaster County Sheriff,7 days 09:09:14.821454
1307,Lancaster County Sheriff's Department,6 days 11:00:00
1308,Lancaster Police Department,628 days 11:57:39.851625
1309,Lane County Sheriff's Office,232 days 08:00:00
1310,Lanier County Sheriff's Office,13 days 20:23:53.874178
1311,Lanier County Sheriffs Office,12 days 02:59:42.365551
1312,Lansing Police Department,23 days 09:08:03.709012555
1313,Lapeer County Sheriff's Office,2 days 13:43:46.505687
1314,Laramie County Sheriff,63 days 11:14:37.601646
1315,Larchmont Village Police Department,410 days 12:04:28.672188
1316,Laredo Police Department,102 days 00:05:14.235226251
1317,Larimer County Sheriff,1 days 03:20:00
1318,Las Animas County Sheriff's Office,379 days 02:32:15.518235
1319,Las Animas Police Department,486 days 20:00:00
1320,Las Cruces Police Department,40 days 01:26:33.832291857
1321,Las Vegas Metropolitan Police Department,102 days 08:49:33.359275943
1322,Lasalle Parish Sheriff's Office,342 days 20:00:00
1323,Lassen County Sheriff's Department,50 days 04:09:28.663166
1324,Lauderhill Police Department,37 days 00:00:19.243662
1325,Laurel Police Department,27 days 01:31:51.851994
1326,Laurens County Sheriff,16 days 07:41:05.145858
1327,Lawrence County Sheriff's Office,83 days 07:46:57.698253
1328,Lawrence Police Department,144 days 07:02:41.973942154
1329,Lawton Police Department,110 days 22:49:13.466058
1330,Layton Police Department,9 days 11:16:45.227038
1331,Le Roy Village Police Department,207 days 14:25:11.554456
1332,Lea County Sheriff's Department,9 days 20:00:00
1333,League Police Department,97 days 11:07:02.577291
1334,Leavenworth Police Department,2 days 20:24:44.841189
1335,Leawood Police Department,7 days 04:43:46.987734
1336,"Lebanon County, Pa Sheriff's",18 days 05:48:09.288182
1337,Lebanon Police Department,5 days 05:03:20.500967500
1338,Lee County Sheriff,8 days 20:00:00
1339,Lee County Sheriff's Office,45 days 15:05:30.697888846
1340,"Lee's Summit Police Department, Lee's Summit",1 days 21:47:25.451661
1341,Leelanau County Sheriff's Office,2 days 07:30:45.747695
1342,Leesburg Police Department FL,10 days 22:39:14.646995
1343,Leesburg Police Department VA,4 days 22:38:56.167384
1344,Leflore County Sheriff,214 days 05:24:21.106086
1345,Lehi City Police Department,20 days 06:14:54.607843500
1346,Leicester Police Department,24 days 16:25:04.029656666
1347,Lemoore Police Department,4 days 20:00:00
1348,Lenawee County Sheriff,14 days 18:04:46.755811
1349,Lenoir County Sheriff's Office,186 days 22:37:00.666031
1350,Lenox Police Department,98 days 20:00:00
1351,Leon County Sheriff Department,25 days 20:22:42.926058500
1352,Leon County Sheriff's Office,15 days 05:04:42.067285
1353,Leslie Police Department,6 days 23:52:43.342389
1354,Levy County Sheriff,2 days 21:12:17.871387
1355,Lewis County Sheriff,231 days 16:33:09.268083
1356,Lewis County Sheriff's Department,24 days 03:48:32.755479428
1357,Lewis County Sheriff's Office,46 days 13:19:00.852406500
1358,Lewiston Police Department,20 days 08:57:44.814645500
1359,Lewiston Town Police Department,207 days 05:41:56.108522500
1360,Lewisville Police Department,39 days 15:24:32.005049375
1361,Lexington County Sheriff,92 days 20:09:03.215150
1362,Lexington Division of Police,327 days 12:10:24
1363,Lexington Police Department,411 days 19:40:00
1364,Liberal Police Department,7 days 22:16:39.561818
1365,Liberty County Sheriff's Office,119 days 13:12:30.883854
1366,Lima Police Department,281 days 15:05:46.471302
1367,Lincoln County Sheriff,7 days 21:02:19.838615
1368,Lincoln County Sheriff MO,116 days 11:05:23.199159
1369,Lincoln County Sheriff's Department,107 days 19:45:00
1370,Lincoln County Sheriff's Office,33 days 21:57:43.082325200
1371,Lincoln Parish Sheriff's Office,142 days 20:00:00
1372,Lincoln Park Police Department,12 days 04:03:53.712781
1373,Lincoln Police Department,28 days 13:52:52.833437
1374,Lincolnshire Police Department,1 days 09:58:15.396886
1375,Lincolnwood Police Department,24 days 21:06:16.964074
1376,Linden Police Department,28 days 22:57:11.304705
1377,Lindsay Police Department,8 days 18:41:27.907250
1378,Litchfield Police Department,4 days 23:35:48.687694
1379,Lithonia Police Department,123 days 22:19:58.590248
1380,Little Compton Police Department,2 days 08:00:00
1381,Little Rock Police Department,153 days 02:13:49.057662776
1382,Littleton Police Department,2 days 17:04:33.780876
1383,Livermore Police Department,105 days 07:00:09.458044500
1384,Livingston County Sheriff,156 days 00:10:18.644520500
1385,Livingston County Sheriff's Office,11 days 04:53:19.182555500
1386,Livingston Parish Sheriff's Office,52 days 08:00:00
1387,Livonia Police Department,19 days 04:44:52.541822
1388,Lloyd Harbor Village Police Department,67 days 11:09:59.381285
1389,Lockport City Police Department,76 days 09:33:43.296546
1390,Locust Grove Police Department,620 days 21:31:43.588922
1391,Lodi Police Department,7 days 20:43:58.976449500
1392,Logan City Police Department,12 days 08:40:49.421683333
1393,Logan County Sheriff's Office,11 days 12:55:48.587284333
1394,Loganville Police Department,9 days 06:36:00.246345
1395,Lombard Police Department,2 days 20:56:43.036856500
1396,Lomita Sheriff’s Station - City of Rancho Palos Verdes,96 days 20:00:00
1397,Londonderry Police Department,589 days 15:30:24.148550
1398,Long Beach Police Department,136 days 13:10:17.502370790
1399,Long County Sheriff's Office,10 days 09:27:48.105246500
1400,Long County Sheriffs Office,74 days 19:14:07.775386
1401,Long Hill Township Police Department,7 days 19:00:00
1402,Longboat Key Police Department,32 days 20:10:21.417033
1403,Longmeadow Police Department,628 days 01:45:00
1404,Longmont Police Department,3 days 22:22:42.046902
1405,Longview Police Department,23 days 20:00:00
1406,Lonoke County Sheriff'S Office,17 days 12:16:26.854056500
1407,Lorena Police Department,32 days 17:18:01.607937666
1408,Los Alamitos Police Department,59 days 21:17:11.754159
1409,Los Altos Police Department,26 days 12:03:37.511023500
1410,Los Angeles County Sheriff's Department,128 days 23:46:56.734590108
1411,Los Angeles Police Department,160 days 00:12:52.391325528
1412,Los Angeles School Police Department,76 days 08:27:31.609768600
1413,Los Banos Police Department,7 days 15:28:17.886907
1414,Los Gatos Monte Sereno Police Department,44 days 19:00:00
1415,Los Gatos/Monte Sereno Police Department,11 days 20:32:39.520347
1416,Loudoun County Sheriff's Office,35 days 07:30:00
1417,Louisiana State Police,113 days 20:00:49.484557880
1418,Louisville Metro Police,11 days 04:24:41.501725900
1419,Louisville Metro Police Department,81 days 12:01:53.989540800
1420,Loveland Police Department,2 days 20:00:00
1421,Loves Park Police Department,7 days 22:47:40.339090
1422,Lowell Police Department,108 days 13:55:08.374434776
1423,Lowndes County Sheriff's Office,20 days 03:13:42.331570
1424,Lowville Village Police Department,355 days 11:45:36.979544
1425,Lubbock County Sheriff's Office,40 days 23:06:50.768733500
1426,Lubbock Police Department,50 days 13:30:33.607422062
1427,Luce County Sheriff,0 days 08:01:27.904414
1428,Lufkin Police Department,20 days 02:03:29.702626
1429,Lumberton Police Department,3 days 17:24:39.876854
1430,Lumpkin County Sheriff's Office,25 days 18:00:07.527075
1431,Lynchburg Police Department,138 days 11:09:26.321621
1432,Lyndeborough Police Department,5 days 00:15:47.816871
1433,Lynn Police Department,136 days 18:34:57.035077100
1434,Lynnfield Police Department,17 days 19:00:00
1435,MARTA Police Department,19 days 08:26:31.635824
1436,MBTA Transit Police,44 days 02:10:54.545454545
1437,Macomb County Sheriff,15 days 08:01:27.904414
1438,Macon County Sheriff,6 days 07:46:57.698253
1439,Macon County Sheriff's Office,481 days 02:16:58.451596
1440,Macoupin County Sheriff's Office,12 days 21:12:27.369724
1441,Madera County Sheriff's Office,93 days 00:53:06.002626667
1442,Madera Police Department,13 days 20:00:00
1443,Madison County Sheriff,47 days 17:31:54.961950
1444,Madison County Sheriff's Department,20 days 16:20:19.890211500
1445,Madison County Sheriff's Office,37 days 21:20:14.563344
1446,Madison County Sheriff’s Office,59 days 20:08:15.355229
1447,Madison Police Department,108 days 23:08:13.041118970
1448,Madisonville Police Department,4 days 04:22:47.812690
1449,Mahanoy Township Police Department,808 days 11:05:23.199159
1450,Mahaska County Sheriff,261 days 20:00:00
1451,Maine State Police,21 days 04:12:14.563544437
1452,Malden Police Department,135 days 17:34:35.688507250
1453,Malvern Police Department,97 days 11:05:23.199159
1454,Malverne Village Police Department,119 days 00:08:18.669017
1455,Mamaroneck Town Police Department,95 days 14:59:14.214874500
1456,Mamou Police Department,148 days 17:57:24.468021
1457,Manalapan Police Department,49 days 03:36:55.627211333
1458,Manatee County Sheriff's Office,16 days 00:12:11.278022500
1459,Manchester Center Police Department,8 days 08:00:00
1460,Manchester Police Department,73 days 08:50:39.931273800
1461,Mandan Police Department,38 days 19:00:00
1462,Manhattan Beach Police Department,53 days 06:25:15.516917
1463,Manheim Borough Police Department,16 days 19:00:00
1464,Manor Township Police Department,6 days 19:00:00
1465,Mansfield Police Department,179 days 02:51:42.211742250
1466,Manteca Police Department,210 days 16:34:21.358442668
1467,Maplewood Police Department,73 days 22:32:27.880992
1468,Marana Police Department,6 days 10:15:14.262925
1469,Marathon County Sheriff's Office,2 days 19:00:00
1470,Marcellus Village Police Department,40 days 00:01:58.251993
1471,Maricopa County Sheriff,79 days 12:29:50.881140111
1472,Maricopa Police Department,4 days 19:00:00
1473,Marietta Police Department,11 days 00:31:34.512067750
1474,Marin County Sheriff,80 days 00:29:52.366446039
1475,Marina Police Department,133 days 19:30:00
1476,Marion County Sheriff,339 days 04:47:16.051006336
1477,Marion County Sheriff's Office,31 days 07:25:01.767708
1478,Marion County Sheriffs Office,38 days 09:05:12.241297
1479,Mariposa County Sheriff,19 days 16:24:01.956310500
1480,Marlborough Police Department,465 days 10:34:23.976968568
1481,Marlborough Town Police Department,341 days 10:17:21.927878
1482,Martin County Sheriff's Office,57 days 19:00:00
1483,Martinez Police Department,9 days 12:42:55.440573500
1484,Martinsburg Police Department,234 days 20:00:00
1485,Martinsville Police Department IN,84 days 23:18:29.134670
1486,Martinsville Police Department VA,88 days 00:10:38.047768
1487,Maryland State Police,46 days 22:30:40.196706146
1488,Marysville Police Department,17 days 23:00:17.585827500
1489,Maryville Police Department,2 days 14:10:39.115670
1490,Mason County Sheriff,5 days 08:01:27.904414
1491,Mason County Sheriff's Office,341 days 22:06:32.043984500
1492,Mass Maritime Academy Public Safety,13 days 19:00:00
1493,Massac County Sheriff's Office,21 days 07:46:57.698253
1494,Massachusetts College of Art and Design Public Safety,67 days 19:00:00
1495,Massachusetts Environmental Police,358 days 05:30:00
1496,Massachusetts Executive Office of Public Safety and Security - Office of the Chief Medical Examiner,268 days 00:53:09.304106668
1497,Massachusetts Institute of Technology Police,10 days 08:03:31.568571
1498,Massachusetts Sheriffs' Association,71 days 18:47:48.646212
1499,Massachusetts State Police,96 days 15:06:57.193110582
1500,Massena Village Police Department,97 days 06:20:48.850567
1501,Maui County Police Department,19 days 11:47:31.611519
1502,Maui Police Department,13 days 16:09:54.681035333
1503,Maybrook Village Police Department,179 days 13:18:02.345104
1504,Mayor's Office of Public Safety,36 days 20:00:00
1505,Maywood Police Department,11 days 19:05:56.653332
1506,McAlester Police Department,456 days 20:00:00
1507,McAllen Police Department,348 days 00:53:59.778947500
1508,McCulloch County Sheriff,12 days 20:00:00
1509,McDonough Police Department,11 days 19:00:00
1510,McFarland Police Department,52 days 20:00:00
1511,McGraw Village Police Department,19 days 08:35:20.592485
1512,McHenry County Sheriff,18 days 07:46:57.698253
1513,McIntosh County Sheriff's Office,11 days 20:00:00
1514,McIntosh County Sheriffs Office,38 days 20:33:35.328158
1515,McKinney Police Department,110 days 01:20:46.924121918
1516,McLean County Sheriff,5 days 00:56:00
1517,McLennan County Sheriff,9 days 21:31:42.906637500
1518,McMinn County Sheriff,49 days 00:56:00
1519,Mcdonough County Sheriff's Office,13 days 07:46:57.698253
1520,Mchenry Police Department Illinois,12 days 22:49:38.276428
1521,Mcintosh County Sheriff's Office,27 days 15:10:14.525583
1522,Mckee Kentucky Sheriff's Department,14 days 23:14:01.393276384
1523,Meadville Police Department,5 days 00:02:58.807870
1524,Mechanicville City Police Department,88 days 14:29:17.577599
1525,Mecklenburg County Sheriff's Office,16 days 20:00:00
1526,Mecosta County Sheriff’s Office,8 days 16:41:19.324969
1527,Medfield Police Department,10 days 17:44:10.936316
1528,Medford Police Department,804 days 05:24:44.288763648
1529,Medina County Sheriff,2 days 20:00:00
1530,Medina Police Department,3 days 19:00:00
1531,Medina Village Police Department,196 days 23:51:49.722096
1532,Medley Police Department,130 days 05:51:12.069202
1533,Meigs Police Department,1188 days 21:28:13.484520
1534,Melbourne Police Department,21 days 15:42:31.671576666
1535,Melrose Police Department,30 days 18:32:50.018091
1536,Memorial Villages Police Department,14 days 00:12:43.473575
1537,Memphis International Airport Police  Department,575 days 11:19:59.362855
1538,Memphis Police Department,120 days 20:17:52.312770678
1539,Menasha Police,5 days 20:46:25.167236
1540,Mendham Police Department,40 days 20:00:00
1541,Mendocino County Sheriff's Department,25 days 10:16:24.393813
1542,Menlo Park Police Department,464 days 19:04:26.253378664
1543,Merced County Sheriff's Department,47 days 08:19:50.534780555
1544,Merced Police Department,27 days 05:52:33.520154
1545,Mercer County Sheriff,15 days 09:41:53.857717333
1546,Mercer County Sheriff's Office,10 days 02:32:59.800741500
1547,Meridian Police Department,16 days 07:30:00
1548,Meriwether County Sheriffs Office,20 days 19:45:28.359782
1549,Merriam Police Department,55 days 20:53:52.589527
1550,Merrimack Police Department,34 days 05:07:51.225949
1551,"Mesa County, CO Sheriff",46 days 20:00:00
1552,Mesa Police Department,58 days 15:04:35.533577917
1553,Mesquite Police Department,23 days 21:17:45.305523285
1554,Mesquite Police Department NV,34 days 19:44:18.577657500
1555,Metropolitan Nashville Police Department,36 days 01:06:39.811359500
1556,Metropolitan Police Department,177 days 07:59:29.008321796
1557,Metropolitan Transit Authority Police,111 days 00:29:33.813717
1558,Metter Police Department,16 days 14:31:25.601836
1559,Miami Beach Police Department,50 days 10:32:20.660891
1560,Miami County Sheriff,3 days 20:39:08.492748500
1561,Miami Gardens Police Department,26 days 01:43:41.002740333
1562,Miami Police Department,108 days 11:04:33.166956024
1563,Miami Springs Police Department,19 days 21:41:35.658308
1564,Miami-Dade County Police,92 days 15:39:14.282760625
1565,Michigan State Police,88 days 07:09:35.972671065
1566,Middlesex County Sheriff,8 days 21:35:35.859801
