Agency,Awaiting Acknowledgement,Awaiting Appeal,Awaiting Response,Completed,Fix Required,In Litigation,No Responsive Documents,Partially Completed,Payment Required,Processing,Rejected,Withdrawn,Total Number of Requests
Delaware State Police,29.0909,0.0,1.8182,23.6364,1.8182,0.0,20.0,1.8182,0.0,0.0,16.3636,5.4545,55
Oakland Police Department,1.2346,0.0,23.4568,23.4568,11.1111,0.0,24.6914,7.4074,0.0,0.0,4.9383,3.7037,81
Michigan State Police,1.5625,0.0,4.6875,23.4375,9.375,0.0,9.375,0.0,26.5625,1.5625,12.5,10.9375,64
Memphis Police Department,0.0,0.0,21.1538,23.0769,17.3077,0.0,19.2308,0.0,0.0,1.9231,11.5385,5.7692,52
Milwaukee Police Department,13.8889,2.7778,13.8889,22.2222,1.3889,0.0,23.6111,0.0,4.1667,0.0,16.6667,1.3889,72
Detroit Police Department,1.0526,2.1053,7.3684,22.1053,11.5789,0.0,15.7895,1.0526,14.7368,0.0,17.8947,6.3158,95
New York State Police,0.0,1.2195,4.878,20.7317,8.5366,0.0,37.8049,1.2195,3.6585,0.0,18.2927,3.6585,82
Albuquerque Police Department,0.0,0.0,4.8387,19.3548,6.4516,0.0,14.5161,1.6129,0.0,0.0,48.3871,4.8387,62
New York City Police Department,0.3597,2.3381,8.4532,17.9856,0.3597,0.0,15.8273,0.7194,0.3597,0.0,44.7842,8.8129,556
Pennsylvania State Police,22.5352,0.0,7.0423,16.9014,0.0,0.0,23.9437,1.4085,0.0,0.0,21.1268,7.0423,71
Virginia State Police,0.0,2.6316,2.6316,15.7895,10.5263,0.0,23.6842,1.3158,11.8421,0.0,23.6842,7.8947,76
New Orleans Police Department,11.8644,0.0,6.7797,13.5593,3.3898,0.0,37.2881,3.3898,5.0847,0.0,13.5593,5.0847,59
Philadelphia Police Department,29.0323,0.6452,2.5806,12.2581,1.2903,0.6452,29.6774,0.6452,0.0,0.0,16.129,7.0968,155
Portland Police Bureau,0.0,1.6807,4.2017,11.7647,13.4454,0.0,11.7647,1.6807,4.2017,0.0,35.2941,15.9664,119
Metropolitan Nashville Police Department,0.0,0.0,0.0,11.3208,45.283,0.0,7.5472,1.8868,3.7736,0.0,13.2075,16.9811,53
Oregon State Police,1.6129,3.2258,0.0,9.6774,6.4516,0.0,46.7742,1.6129,20.9677,0.0,3.2258,6.4516,62
