,Agency,Requests Received
587,Joliet Police Department,6
588,Columbia County Sheriff's Office,6
589,Salt Lake County Sheriff's Office,6
590,San Luis Obispo County Sheriff,6
591,Smithfield Police Department,6
592,North Little Rock Police Department,6
593,Oak Park Police Department,6
594,Longmeadow Police Department,6
595,Daly City Police Department,6
596,Lafourche Parish Sheriff's Office,6
597,Poughkeepsie Police Department,6
598,Lane County Sheriff's Office,6
599,Placerville Police Department,6
600,Placer County Sheriff,6
601,Calhoun County Sheriff's Office,6
602,Kootenai County Sheriff,6
603,Danville Police Department,6
604,Solano County Sheriff,6
605,Pasco Police Department,6
606,Dane County Sheriff,6
607,Jackson County Sheriff,6
608,San Francisco Police Commission,6
609,Charlotte County Sheriff's Office,6
610,Palm Beach Police Department,6
611,Palm Beach Gardens Police Department,6
612,Oxford Police Department,6
613,Shelby County Sheriff,6
614,Lincoln County Sheriff's Office,6
615,Osceola County Sheriff's Department,6
616,Cecil County Sheriff's Office,6
617,Cumberland Police Department,6
618,Redding Police Department,6
619,Burrillville Police Department,6
620,Redondo Beach Police Department,6
621,Brazoria County Sheriff's Office,6
622,Carroll County Sheriffs Office,6
623,San Leandro Police Department,6
624,Emeryville Police Department,6
625,Tyler Police Department,6
626,Tuscaloosa Police Department,6
627,Arvada Police Department,6
628,Flint Police Dept.,6
629,Trumbull Police Department,6
630,Glenview Police Department Illinois,6
631,El Monte Police Department,6
632,"Glendora, CA Police Department",6
633,Ann Arbor Police Department,6
634,Forsyth County Sheriff's Office,6
635,Springdale Police Department,6
636,Benton County Sheriff's Office,6
637,Tiburon Police Department,6
638,Fort Bend County Sheriff's Office,6
639,Thurston County Sheriff,6
640,Thornton Police Department,6
641,Texas Department Of Public Safety,6
642,Amarillo Police Department,6
643,Airport Police Department,6
644,Worcester County Sheriff's Office,6
645,Allegheny County Sheriff's Office,6
646,Allegheny County Police Department,6
647,Surprise Police Department,6
648,Hernando County Sheriff's Department,6
649,Bergen County Police Department,6
650,State College Area Police Department,6
651,Stark County Sheriff,6
652,Stanislaus County Sheriff's Department,6
653,South San Francisco Police Department,6
654,Frederick Police Department,6
655,BART Police,6
656,police department,6
657,Atlantic City Police Department,6
658,University of Washington Police,6
659,Florence Police Department,6
660,Grand Forks Police Department,6
661,Hudson Police Department,6
662,Blacksburg Police Department,6
663,Westerly Police Department,5
664,Brookhaven Police Department,5
665,Johnston Police Department,5
666,Corning Police Department,5
667,Pembroke Pines Police Department,5
668,Jones County Sheriff's Office,5
669,Nevada County Sheriff,5
670,"Department of Public Safety, Architectural Access Board",5
671,Plumas County Sheriff,5
672,Brownsville Police Department,5
673,Carrollton Police Department,5
674,Gardena Police Department,5
675,City Of Allen Police Department,5
676,Jupiter Police Department,5
677,Citrus County Sheriff's Office,5
678,West Virginia Division of Protective Services (WV Capitol Police),5
679,West Valley Police Department,5
680,West Sacramento Police Department,5
681,Palos Verdes Estates Police Department,5
682,Gaston County Sheriff,5
683,City of San Luis Obispo Police Department,5
684,Nantucket County Sheriff’s Department,5
685,Falls Church Police Department,5
686,White Plains Department of Public Safety,5
687,Hingham Police Department,5
688,Jamestown Police Department,5
689,Winchester Police Department,5
690,Greene County Sheriff,5
691,Pearland Police Department,5
692,Wilson County Sheriff,5
693,Mariposa County Sheriff,5
694,Clayton County Police Department,5
695,Marietta Police Department,5
696,Clarksville Police Department,5
697,Williamsburg Police Department,5
698,Bristol Police Department,5
699,Claremont Police Department,5
700,San Benito County Sheriff,5
701,Carroll County Sheriff,5
702,Mansfield Police Department,5
703,Munster Police Department,5
704,Murrieta Police Department,5
705,Sumter County Sheriff's Office,5
706,Fulton County Sheriff's Office,5
707,Buena Park Police Department,5
708,Hawaii Police Department,5
709,Petaluma Police Department,5
710,Madison County Sheriff's Department,5
711,North Palm Beach Police Department,5
712,Los Angeles School Police Department,5
713,Washington County Sheriff's Department,5
714,Lincoln County Sheriff's Department,5
715,Glenn County Sheriff,5
716,Trenton Police Department,5
717,Hamilton County Sheriff's Office,5
718,Prince William County Police,5
719,Hamilton County Sheriff,5
720,Placentia Police Department,5
721,Champaign Police Department,5
722,Logan County Sheriff's Office,5
723,Portage Police Department,5
724,Tulare County Sheriff,5
725,Lockport City Police Department,5
726,Tulsa County Sheriff,5
727,Okaloosa County Sheriffs Office,5
728,Walton County Sheriff's Office,5
729,Oklahoma County Sheriff,5
730,Camden Police Department,5
731,Guilford County Sheriff's Office,5
732,Cedar Rapids Police Department,5
733,Lexington Police Department,5
734,North Miami Police Department,5
735,Plattsburgh Police Department,5
736,Pike County Sheriff's Office,5
737,West Fargo Police Department,5
738,Chino Police Department,5
739,Newport Police Department,5
740,Leon County Sheriff Department,5
741,Harrisburg Police Department,5
742,Kent County Sheriff,5
743,Covina Police Department,5
744,Grays Harbor County Sheriff's Office,5
745,Palm Bay Police Department,5
746,Leon County Sheriff's Office,5
747,Davie Police Department,5
748,Lumberton Police Department,5
749,Coweta County Sheriff's Office,5
750,Chesterfield Police Department,5
751,Redwood Police Department,5
752,Larimer County Sheriff,5
753,North Attleboro Police Department,5
754,Tonawanda Town Police Department,5
755,North Kingstown Police Department,5
756,Butte County Sheriff,5
757,El Cajon Police Department,5
758,Tiverton Police Department,5
759,"Office of the Attorney General, Department of Law and Public Safety",5
760,Taylor County Sheriff's Office,5
761,Franklin County Sheriff,5
762,York City Police Department,5
763,Miramar Police Department,5
764,Cochise County Sheriff's Office,5
765,Hudson County Sheriff's Department,5
766,Collin County Sheriff's Office,5
767,Huntington Police Department,5
768,South Lake Tahoe Police Department,5
769,"Mesa County, CO Sheriff",5
770,Woonsocket Police Department,5
771,Schuyler County Sheriff's Office,5
772,Monroe County Sheriff's Office,5
773,Aberdeen Police Department,5
774,Maui Police Department,5
775,Midland County Sheriff,5
776,Alachua County Sheriff,5
777,Flagler County Sheriff's Office,5
778,Douglas County Sheriff's Office,5
779,Houston County Sheriff,5
780,East Greenwich Police Department,5
781,Bethel Park Police Department,5
782,Inglewood Police Department,5
783,St Charles Parish Sheriff,5
784,Columbia County Sheriff,5
785,Snoqualmie Police Department,5
786,Fayette County Sheriff,5
787,St Michaels Police Department FOIA,5
788,Smyrna Police Department,5
789,Mercer County Sheriff,5
790,Santa Maria Police Department,5
791,Dickson County Sheriff's Office,5
792,Mohave County Sheriff's Office,5
793,Modoc County Sheriff,5
794,Albemarle County Police Department,5
795,Southampton Village Police Department,5
796,Glocester Police Department,4
797,Duval County Sheriff,4
798,Warren County Sheriff's Office,4
799,Lacey Police Department,4
800,Durham County Sheriff's Office,4
801,Calcasieu Parish Sheriff's Office,4
802,Charleston County Sheriff's Office,4
803,Trinity County Sheriff,4
804,Lombard Police Department,4
805,Lodi Police Department,4
806,Ocala Police Department,4
807,La Habra Police Department,4
808,Oconee County Sheriff's Office,4
809,Bangor Police Department,4
810,Calhoun County Sheriff's Department,4
811,Hampden County Sheriff's Office,4
812,Arcadia Police Department,4
813,Ada County Sheriff's Office,4
814,Edinburg Police Department,4
815,Weber County Sheriff's Office,4
816,Webb County Sheriff,4
817,Bethlehem Police Department,4
818,Waxahachie Police Department,4
819,Waukegan Police Department,4
820,Shawnee County Sheriff's Department,4
821,Bartlett Police Department,4
822,Randolph Police Department,4
823,Adair County Sheriff 's Department,4
824,Spencer Village Police Department,4
825,Stafford County Sheriff's Office,4
826,Kings County Sheriff,4
827,North Smithfield Police Department,4
828,Washoe County Sheriff,4
829,Creve Coeur Police Department,4
830,Indian River County Sheriff's Department,4
831,Eureka Police Department,4
832,Spearfish Police Department,4
833,Hampshire County Sheriff,4
834,Midlothian Police Department TX,4
835,Colorado Department of Public Safety,4
836,Pueblo County Sheriff's Office,4
837,Charlestown Police Department,4
838,Mecklenburg County Sheriff's Office,4
839,Southern Chester County Regional Police Department,4
840,Goodyear Police Department,4
841,Del Norte County Sheriff's Office,4
842,Danbury Police Department,4
843,Cass County Sheriff's Office,4
844,Siskiyou County Sheriff,4
845,Pacifica Police Department,4
846,"Dallas, TX Police Department",4
847,DuPage County Sheriff,4
848,Lassen County Sheriff's Department,4
849,Palm Springs Police Department,4
850,Valdosta Police Department,4
851,College Station Police Department,4
852,Uxbridge Police Department,4
853,Pershing County Sheriff's Office,4
854,Lawton Police Department,4
855,Peoria County Sheriff,4
856,Ventura County Sheriff,4
857,Bloomfield Police Department,4
858,Attleboro Police Department,4
859,Pennington County Sheriff's Office,4
860,Lee County Sheriff,4
861,College Park Police Department,4
862,Greenfield Police Department,4
863,Mercer County Sheriff's Office,4
864,Hull Police Department,4
865,police,4
866,Greene County sheriffs Office,4
867,Passaic County Sheriff,4
868,Paterson Police Department,4
869,Lewis County Sheriff's Office,4
870,"Pima County Sheriff's Department, Tuscon",4
871,Yuma Police Department,4
872,Virginia Military Institute Police,4
873,Pompano Beach Police Department,4
874,Hagerstown Police Department,4
875,Douglasville Police Department,4
876,Baldwin Park Police Department,4
877,Iowa City Police Department,4
878,Melbourne Police Department,4
879,Oneida County Sheriff,4
880,Little Compton Police Department,4
881,Erie Police Department,4
882,Gwinnett County Sheriff,4
883,Sierra County Sheriff's Office,4
884,Decatur Police Department,4
885,Orange County Sheriff,4
886,Cuyahoga County Sheriff,4
887,UVM Police,4
888,Sierra Vista Police Department,4
889,Lamar County Sheriff's Department,4
890,Downers Grove Police Department,4
891,Orchard Park Town Police Department,4
892,Lincolnwood Police Department,4
893,South Kingstown Police Department,4
894,Ulster County Sheriffs Office,4
895,Abilene Texas Police Department,4
896,South Jordan Police Department,4
897,South Gate Police Department,4
898,Pitkin County Sheriff's Office,4
899,Fort Bragg Police Department,4
900,Hampton Police Division,4
901,Harnett County Sheriff,4
902,Kane County Sheriff's Department,4
903,Alpine County Sheriff's Office,4
904,St. Johns County Sheriff's Office,4
905,West Warwick Police Department,4
906,Berkshire County Sheriff's Office,4
907,Herndon Police Department,4
908,Garfield County Sheriff,4
909,Columbus Police Department,4
910,Whittier Police Department,4
911,West Seneca Town Police Department,4
912,West New York Police Department,4
913,Bradford County Sheriff's Office,4
914,Mount Vernon City Police Department,4
915,East Carolina State University Police Department,4
916,Missouri City Police Department,4
917,Tarrant County Sheriff's Office,4
918,Wright County Sheriff Office,4
919,Albany Police Department,4
920,Madera County Sheriff's Office,4
921,New Shoreham Police Department,4
922,"Department Of Public Safety, Georgia State Patrol",4
923,Mobile County Sheriff's Department,4
924,Island County Sheriff's Office,4
925,Saratoga County Sheriff,4
926,Helena Police Department,4
927,City of Westminster Police,4
928,Napa County Sheriff,4
929,Napa Police Department,4
